hư hại	破坏
Gia Kinh	嘉靖
xe tải	卡車
mơ hồ	朧
sự trao đổi chất	代谢
hợp đồng	契约
Lunan	路南
Bài viết đầu tiên	首條
Được	獲
Niên giám	年鑑
Louis	路易斯
Pao	擣
còn lại	遗迹
Hai mươi ngàn	两万
San Lo	圣洛
thành phố Mexico	墨西哥城
chức năng	函數
Máy tính bảng	牌位
Đánh bắt cá	钓
trên	就
nhím	猬
Phụ lục	吞并
Ách	顅
Hướng tây	偏西
rủi ro	险
hư hại	損壞
kháng nguyên	抗原
Kanter	坎特
Từ chối	拒
Thượng nghị viện	参议
Bình luận	解說
Davis	戴维斯
Quang hợp	光合作用
đơn giản hóa	簡化
phần thưởng	賞賜
Yu	妀
vườn	园
Fu	鬦
Wenlong	文龙
loạng choạng	跄
Baba	巴巴
Dù sao	反正
Biên tập	纂修
Châu đại dương	大洋洲
Zheng	箏
kết quả	结果
Sáng	鮮明
cơ chế	機構
Âm	釃
Ngăn cản	摊
Cabin mặt trăng	月舱
Mái hiên	篷
con cóc	黾
Quốc gia	國國
cao su	橡胶
Trung Quốc	中国
một số	有的
Botsva	博茨瓦
Và	幵
Kai	鍇
Đường bằng phẳng	平路
điếu văn	诔
đáng yêu	譅
kiểm tra	考
Tháng	個月
cây rơm	山脊
Đội cho	隊為
James	詹姆
Mangshi	芒市
Queensland	昆士蘭州
Sẽ	便會
Leah	莉亞
Hình ảnh	意象
cây tre	竹
Chạy trốn	逃跑
liên hiệp	合會
bắt tay	握手
Nagato	長門
Duy Nhất	鳎
Chính trị	從政
Đinh ốc	拧
Hitter	击者
Trong vòng	以内
đồng hành	伴侣
Năm Anh	英年
Điều này	這部
Lựa chọn	評選
Chiến dịch này	此役
Rỗng	空洞
Kẻ ngốc	谰
Wisconsin	威斯康辛州
Gore	戈尔
Nhà Minh	明代
trước đây	先前
lớn	硕
Giá bán	物價
quan tài	櫬
cừu cái	牂
Yi	勼
Quanh co	绕组
Xấu hổ	漒
Huân	嬂
Rabbi	拉比
Giáo viên và học sinh	师生
Vứt bỏ	处置
Chủ nghĩa dân tộc	国主义
bên ngoài	外在
Chắc chắn	堅固
Phóng	下水
Bạn và	爾與
Hảo	灝
Thánh tích	遗物
điển hình	地道
sư tử	獅
Độ phân giải	解析度
học thuyết	理论
Cắt	切割
ba mươi mốt	三十一
Chủ tịch	主席
từ giờ trở đi	今後
Nó được bao bọc	被包
Sản xuất	産
Linde	林德
Rượu hiến tế	祭酒
Chức vô địch	錦賽
nộp hồ sơ	歸順
Cột sống cổ	頸椎
Fermium	鐨
Khan	可汗
Khiêm tốn	蘥
đế quốc Anh	大英帝国
Bờ hồ	湖岸
Hai người tại	兩人於
nói dối	趴
loa	议长
Và đã	並曾
Nepal	尼泊尔
mở mắt ra	睜
dự báo	預報
Nhìn nhận	认定
thực hành	實習
Ke	坷
Đảo	特岛
Mạnh	堅
cực điểm	高潮
Sông Tùng Hoa	松花江
phức tạp	複
Trong tháng	月內
mục lục	目錄
Có được điều này	得此
Gập lại	襞
Gợi lại	罷免
Vị trí chính thức	官职
United Gang	聯幫
Quán tính	惰性
Hokkaido	北海道
Giao banh	供职
Murray	美利
Sau cuộc chơi	賽後
đồng thời	与此同时
Chức vụ	之位
Báo mới	新報
Bạn	爾
Rio	里奥
Ở gần	临
chim cánh cụt	企鹅
Chủ nghĩa tư bản	本主義
cố vấn	参赞
Cho thời gian	為當時
nuôi nhốt	囚禁
Chuo	櫎
Lehman	莱曼
Từ	来自
vai	肩
Yi	佄
Đào tạo	培训
Bang New York	纽约州
Hoa và chim	花鸟
chính quyền	当局
què	跛
Ye	鑴
do dự	躊
Bourne	伯恩
cưới nhau	已婚
Xem xét lại	大修
Thứ mười một	十一日
Bauhinia	紫荊
Dự trữ	储量
Chúng tôi nhận ra	們認
Wan Yan	完顏
Gay	同性恋
Tát	椈
Titan	土衛
Tây An	奅
sự nguy hiểm	岌
dọn dẹp	干净
Quyền thị trưởng	代市长
bề mặt	麵
Nước Phổ	普魯士
Có thể được mô tả là	可謂
Công bố	發表
Tàu ngầm	潛艦
Lincoln	林肯
giống cái	牝
Qi	碶
Hạt Wu	吴县
Cyprinus carpio	綱鯉齒目鯉
mơ hồ	胧
giam	扣留
ngôi đền	寺院
tiêu điểm	焦點
Yu	豫
Pierre	皮埃尔
Meurthe Moselle	默尔特摩泽尔省
Bạn	俎
phần phía sau	后部
Chi	辌
Phẫu thuật thẩm mỹ	整形
hai	贰
Số tại	號在
Xã hội đen	匪徒
Khách sạn	賓館
dỗ dành	哄
Nhón	掟
Cúp quốc gia	國家盃
Loài	個種
Trịnh Châu	鄭州
quyền con người	人權
Nước sông	江水
bên trong và bên ngoài	内外
Tìm kiếm và cứu hộ	搜救
bệ phóng	发射器
Tel Aviv	特拉维夫
Sar	薩爾
Đồ khốn	鮓
giải thưởng lớn	大奖
dấu ngoặc	括号
Khánh thành	就職
Delia	德里亚
Cuộc thi	大赛
mủ	脓
Học viện Hoàng gia	翰林院
Canh	鬕
Chiếm lấy	攻占
Gió mùa	季风
Cáo phó	訃
Thêm vào	增设
Lịch sử gia đình	家世
Vô điều kiện	无条件
Là nó	嗎
Gói	封装
công cộng	公共
Chiến tranh trên bộ	陸戰
Qian	墘
Olefin	烯烃
Nhạc sĩ	音乐人
ban phước	保佑
rơi vãi	降
Bay	蹻
Ở lại	留守
Gilas	吉拉斯
Xếp hạng giữa	躋
nhà vua	称王
Gil	吉爾
sao Kim	媊
quả mọng	贝里
Fiji	斐濟
Đề cương	廓
Yu	虤
xua tan	打消
Mì	面面
Tường thuật	敘
Chao ôi	阿拉斯
Sôi lên	沸
Brooke	布鲁克
sẵn lòng	願
bên bờ biển	海滨
Que	陗
Ziji	资治
Ngốc nghếch	矲
vào thứ Tư	周三
anh em	兄弟
bài thơ	诗人
Tỉnh Ca	卡省
Xuân	玹
Viễn Đông	遠東
Thành phố miệng	口市
Tốt bụng	那种
Bằng miệng	口述
Mỏ đá	鰂魚
Ribosome	核糖体
Và tóc	與發
Nhập ngũ	入伍
Tiêm	射入
Nong	儂
Cuộc thám hiểm phương Bắc	北伐
Conta	康塔
Đơn nữ	女单
Giành được	獲第
Học	研習
Hiện hành	電流
Tao	洮
Lang	琅
Thương gia	商戶
Shi Cai	時才
Đá bazan	玄武
lo lắng	惴
Thay trong	见于
Gặp	相接
Nam Cực	南极洲
Đau khổ	備受
Lớn hơn	年長
Mờ nhạt	杄
phát triển	发育
Hyun	鉉
Để lại nó cho	留给
gầy	脔
Trò chơi	博弈
Kasa	笠
Slav	斯拉夫人
Ban hành	頒佈
Thời gian và	時與
Shar	沙尔
Hệ hành tinh	行星系
hỏa táng	火葬
Hải nam	海南
Nga	俄羅斯
sự ra đời	來臨
Gì	么
ở lại	呆
Còng tay	铐
Nian	辇
Zhong	麔
Vận tải đường biển	海运
Tuo	陀
tấn công	猛攻
Yan	橑
Kang Nai	康乃
Tổng số cốc	總盃
Sau khi giết	殺後
Nielsen	尼尔森
Được	穫
Chua cay	枌
câu chuyện	故事
cối	臼
cám	麩
Jiankang	建康
Tẩy	撤除
Yoshi	與義
Đại đa số	绝大多数
Sạc điện	電荷
Đông Ấn Độ	東印度
Con số	个数
Zhang	欆
Habsburg	哈布斯堡
Bộ hành chính	政部
New Mexico	新墨西哥州
thủ tục	手续
Xi	浵
tận dụng lợi thế của	趁
Phi	擲
vô hạn	無限
Yu	屿
mềm mại	软
Xoắn lại	蜷
mục	项
Nội dung	含量
con rết	蜞
chủ đề	主题
Ghi lại	纪录
Trò chơi dã chiến	場賽
Bướng bỉnh	梀
Tsamp	猳
câu lạc bộ	梃
lỗi	謬誤
ôn tập	回顧
đủ	足以
cá đuối	鼭
Saud	绍德
Cục điều tra	调查局
gặp	会见
phái viên	使節
phân bón	化肥
pháo binh	火砲
Thay đổi	変
Đấu vật	摔跤
Zell	泽尔
tiếng ồn làm phiền	窸
cua biển	蛑
nạn đói	饥饿
quan tâm	利益
Phục hồi	回生
Putuo	普陀
Máy chém	铡
Pyrimidine	嘧啶
Kéo dài	辥
hữu cơ	有機
Kava	卡瓦
Thắng lợi	全勝
Chịu trách nhiệm	負責
ngân sách	財
Phần nhỏ	小部分
Rẽ phải	向右
Sk vùng	斯克州
Háu ăn	饾
thời gian	時間
Đơn vị con	亚基
ngân sách	预算
đồng đội	隊友
biểu hiện	表达式
Shuyi	淑儀
Chạy xuyên qua	贯
Camer	喀麦
tổ chức	主持人
Hoa anh đào	櫻花
Miền nội bộ	域內
Sự xuất bản	出版物
Phòng biểu diễn	表演系
dây chằng	韌帶
la kêt quả của	后果
Weiguo	卫国
khiêu vũ	跳舞
Meier	美尔
pha trộn	混
Trong vở kịch	劇中
Ston	斯顿
gia đình	世族
Lịch sử chung	通史
ổn định	安定
Đường may	缝
Nia	尼亞州
Yu Dui	於對
Gồm	所組成
may thay	幸好
Khó xử	肓
Li	蠩
Yun	鄆
Newyork	紐約
Cây thủy sinh	水草
phỏng đoán	猜想
Luo	溦
Fu	芙
truy vấn	劝说
Ngọc hoàng	玉皇
Thực ra	實為
Mela	美拉
tỉnh Chiết Giang	浙江省
giảm bớt	还原
Tiệc	騨
Ca hát	歌壇
Tổng diện tích	總面積
Nhút nhát	閮
rùa biển	鼋
mùa xuân	弹簧
Hông	髋
Cho bây giờ	為現
Miền	疇
sập	满贯
Bay lên	飇
Robin	罗宾
Gia trị được ki vọng	期望值
Lời nói đầu	序言
quên	忘
Huệ Châu	惠州市
tuyến tụy	膵
Vé	門票
đẹp	佼
tiếng Đức	德人
đi bộ	步行
Làm tươi	刷新
Qi	羗
người Trung Quốc	华人
hẻm núi	峽
Ba mươi ba	三十三
Biểu diễn nghệ thuật	演艺
Chỉ định	主治
Chỉ có	祗
Tháng sáu	筺
Giữ	揽
Trong tay	手中
Domini	多米尼
thiếu niên	青春
Lưu Bang	刘邦
Thành phố mới	新城市
Cốc	盏
Điều khiển	馭
Tường	華爾
nhà vua	國王
Tóm lược	摘要
Đằng sau xe	車後
Phôi thai	胚胎
TV Asahi	朝日電視台
Đa dạng	種各樣
Công việc nhà	家事
chiều dài đầy đủ	全長
Giải thích	阐
Lực lượng đồng minh	盟军
Boolean	布尔
Sau khi đến	來後
bản phác thảo	素描
Núi đá	石山
Tìm hiểu và	學與
Chân nam	南麓
Cuộn	輥
Vì sự thật	為實
Cho nó	為之
Gạo nếp	豽
Hung bạo	暴
Thuộc về bưu điện	邮政
trung thànhxôn xao	忠实洶
Bailey	貝利
Crewe	克魯
anh ta không làm	他沒
Thương	斯皮尔
Theo kinh nghiệm	實證
Giai cấp tư sản	资产阶级
hai lần	兩次
Hess	赫斯
Nhận đầu tiên	獲得第
Rừng hỗn giao	混交林
dịch	翻译
Hu	琥
Đất sét	克萊
Churn	流失
Dương	炀
Khi nào	時以
Argon	氩
Yi	翾
giữa	間
phù sa	淤
Đinh ốc	擰
đất sét	壚
Nagoya	名古屋
Hoa trà	山茶
Phan sinh	濟會
Shifa	時發
Cape Town	普敦
Liên minh dân chủ	民盟
xuất hiện	出现
Cuộc sống	活人
Ông nội	外祖父
kỹ sư	機師
Hoàn thành	竣
Đài Bắc Trung Hoa	中華台北
bánh lái	艄
Kuaiji	会稽
Sảnh đợi	大堂
Dòng chính	主线
Kinh doanh	工商
Chỉ có thể	僅能
Săn bắn	捕猎
vay	贳
Cấp dưới	下辖
Bướng bỉnh	輈
Tang	齀
Điếu xì gà	雪茄
Một nhóm người	一行人
Casa	卡萨
Thương gia	商家
bỏ phiếu	選票
Komatsu	小松
Di chuyển và	動及
Lòng tin	信賴
súng	槍
vấn đề	事項
Li	漓
chờ đợi	伺
Giấm	醋
Quan âm	觀音
Xe hơi	用車
Nhận định	識別
Zi và	子與
nụ cười	微笑
Quan thoại	官話
mực	墨水
Rela	瑞拉
Ghen tuông	揃
Gốc	產地
Hỏa táng	火化
Người sành ăn	美食
Chiến đấu cho	為戰
Yutai	於台
Hurd	赫德
tai Chi	太极
biểu hiện	表达
Tây An	読
Fiji	斐济
thông thoáng	明確
Tổng	总和
sự phân cực	偏振
liên bang	聯邦
Cho hai	為二
Sui	睌
bộ sưu tập	征收
Chen	辰
Dọc theo con sông	沿河
Giai điệu tích cực	正音
Và trong	並在
vùng trời	空域
thèm muốn	愒
Casti	卡斯蒂
đầu lâu	颅
bóng râm	廕
Sử dụng	克用
tan chảy	熔化
Shaoqing	少卿
Fukuyama	福山
Bắc Triều Tiên	北韓
Nhà Lý sau này	後黎朝
Baton	棒
Trực tuyến	網上
địa phương	当地
chuyên nghành	专门
thực ra	竟
Docking	对接
Chiến tranh giai đoạn	戰國時
Trụ sở chính	總署
ion	离子
Tối cao	至上
MCA	马华
ghim	销
Được xây dựng trong	建于
Dài	倞
Giám đốc	總管
Trung Quốc cổ điển	文言
Thứ hai	蒙德
Ăn thịt	食肉
Sâu	蓚
Kansas	堪薩斯
Kwai Tsing	葵青
King Wu	吴王
Người cao tuổi	長者
tương ứng	各自
Đài phun nước	喷泉
Nông nghiệp	养殖
gốm sứ	陶瓷
Yu	騳
buồn	悲
thì là	茴
Hợp tác	合作
Đông Phi	东非
Giáng sinh	聖誕
phòng thủ	捍衛
Chu	躽
trứng	雞蛋
hàng tuần	每周
Âm nhạc	音乐
Mirage	蜃
Giả mạo	伪造
Thời gian bằng	時由
Lượt xem	觀點
Ji Họ	姬姓
Lời phàn nàn	控訴
khí ga	气体
Khoảng cách ngắn	短途
Qinghai	青海
thợ mỏ	矿工
Vũ khí hạt nhân	核武器
Yuwentai	宇文泰
Tsuki	通志
ở lại	獃
duy trì	维持
Tặng kem	獎金
ba một	三一
Một bên	一边
Nhà sư	僧人
Trồng cây	種植
phòng thay đồ	更衣室
tinh thần	灵
đơn vị	单位
Nhạc Dương	岳阳
Vì sự bền bỉ	為執
đột phá	突破
Giám khảo	考官
Đồng ký	合署
mặt trước của quần áo	襜
kinh ngạc	驚人
Deborg	德堡
Eugene	尤金
ngoại ô	郊区
Bondage	束縛
Khối lập phương	方块
chống lại	抗
Cây bụi	布什
Dài	长
Mảnh khảnh	窈
giải phóng	解放
Manche	芒什省
Đầu tiên	甲第
giải phóng	釋放
Thêm vào	新增
bổ nhiệm	委任
Lớp hai	初二
Yu	騜
Shan	姍
Dễ dàng hơn	更易
nơi	斑
Dịch	譯本
Bộ	笀
chú rể	倌
Ghi lại	記載
Đỉnh đầu	头顶
Quyền hạn	舝
quần áo tã cho trẻ con	繈
Bắn	枪决
Tấn	吨
nguyên liệu thuốc men	本草
tổ	巢
Zhu	祑
Tiếp cận	临近
Quốc gia kiểm soát	制國
Giám sát	監
Aya	绫
Doba	多巴
Thị trấn nhỏ	小镇
gọi ra	咻
Lần đầu tiên	初次
Trưởng	酋長
Nhập cư	移民
khiêm tốn	卑
Trung Quốc	中華
Toàn thành phố	全市
Yao	貅
Năm nay	今年
sự áp bức	压迫
màu xám	灰色
nhẫn	响
Tìm thấy	發現
dè dặt	謹慎
La Mancha	拉曼恰
Khi đến thăm	訪時
Toàn thể	全会
chính xác	正確
thông thường	平時
Lợi nhuận	牟利
Sốc	冲击
Nỗi khó khăn	难者
Khen ngợi	赞赏
Longyan	龙岩
Với sự giúp đỡ của	借助
có hiệu lực	現行
Giàu có	裕
và vì thế	所以
Pan xanh lam	泛藍
vật	物件
Vàng	金色
Sáng	明
Xếp hạng Đại học	大學排名
Thành phố nam kinh	南京市
Bệnh trầm cảm	壓器
Địa chỉ gốc	原址
nhảy lên	蹿
Thiên Thủy	天水
tua	旒
hy vọng	预期
Đường sắt	路軌
Lấy	服用
Xiao	瀟
chuyên quyền	专制
Qi	虂
Được xây dựng trong	內置
Đã học	學的
Định cư	入驻
tội	罪恶
Quốc gia	国立
Chỉ trích	諍
Tu nhân của chiên tranh	戰俘
TEDA	泰达
trống	鼓
bài tập	任务
Khai sáng	启发
Cá chép	鲩
Suo	珷
khí hậu	氣候
Gree	格列
Giới hạn trên	上限
Bốn loại	四種
Qi	覲
trận chiến	仗
Thiếu tướng	少将
bùn lầy	濘
Người giám hộ	護法
Không biết xấu hổ	婌
Hạt Gen	根縣
Ye	赯
cao nhất	最高
Copenhagen	哥本哈根
toàn bộ	整
Ngươi	斄
Ml	毫升
Mù quáng	盲目
Giải Kim Mã	金馬獎
hạm đội	艦隊
Bộ nội vụ	務部
Cepheus	仙座
Đốt cháy	焚毀
Lông	海尔
Thích	賛
mũ lưỡi trai	帽
Putin	普京
cận thần	朝臣
Bác sĩ quân y	军医
Người đại	傣族
vật chất	料
Giơi hạn dươi	下限
đan lát	筚
Libya	利比亚
hy sinh cho thần chiến tranh	禡
mặt nước	水面
cuộc thi	競爭
máy trục	鹤
Bảng điểm	誊
Anh bạn	布羅
Shi	輚
mở	开
muộn	迟
Sảnh lớn	大会堂
vấn đề	难题
Chức vụ	司职
Tiếng hà lan	荷蘭語
Nasi	納西
chạy	运行
Vetch	鋕
Yi	怡
Dap xe	搭乘
dụng cụ	儀
khỏi bệnh	痊
He Hong	何鴻
Chính thức	公事
Brahman	婆羅門
Trong số tốt nhất	名列前茅
Erno	爾諾
Sharan	夏朗
Thủ lĩnh	領軍
Huguang	湖廣
Loại bỏ	汰
đại sảnh	廳
lấy	采取
Đúng	了對
Phi lợi nhuận	非營利
tích cực	正面
Nâng lên	秉持
Thêm vào	怐
Được đánh dấu là	記為
dẫn đến	導致
Mang	运载
Trước mặt	前置
Tại sao	为何
Dòng sắp tới	線來
họ	她們
Kỳ nghỉ	渡假
Dốc	斜坡
mua, tựa vào, bám vào	採購
Tên chung	通称
Nhà ga	该站
Lan tràn	散布
KCRC	九鐵
hơn thế nữa	矧
Zhan	欓
phóng đại	夸张
Ying	颃
Thiết bị đầu cuối	末期
thô lỗ	獗
giảng bài	教學
đóng cửa	阏
Con mèo	貓
thóc	稻田
Trung tâm	中央
Đồng phục	校服
Dayu	大禹
động lực	動機
chì	铅
Trên bờ vực của	濒临
Chiếm ưu thế	盛行
khắc chạm	栔
Phun	噚
Hai lớp	双层
Li	讜
Thời sự buổi tối	晚报
Tàu con thoi	太空梭
Khá	颇为
giỏ trái cây	籩
Thân tháp	塔身
Mia	米亞
Sự vi phạm	違規
Ngọn lửa	大火
Zhe	喆
Xâm lược	侵略性
Quốc tế	國腳
động cơ	发动机
Họ hoa	花科
Rạn san hô	珊瑚礁
Mauri	毛里
Khi nó xảy ra	發生時
Cái này	這首
Đặc tính	功能性
Georgia	格州
Tượng trưng	象征性
Một loạt các	一連串
Bai Chongxi	白崇禧
Đơn hàng con	亞目
Miaoli	苗栗
thổi	飕
Đường Des Voeux	德輔道
hiệu quả	效能
Thực hành	執業
Độ phân giải	議決
Ghét	憎
máy tính bảng	牓
Mike	迈克
Tuyết tan	融雪
Argentea	葙
xem	睹
Ver	凡尔
Đặt hàng	阶
Tây Bắc	西北部
Tuôn ra	通量
Tình hình chính trị	政局
nhiều lần	一再
Wilson	威爾遜
Mạo danh	冒充
Zhuang Zhen	庄镇
Ba chiếc nhẫn	三环
không bật	正午
Lừa gạt	涓
Và tham gia vào	並參與
II	二世
Bằng lăng	拉格
gợn sóng	涟
Dragon Haome	龍下目
Cặp đồng quê	國對
phân loài	亚种
erbium	鉺
Ý tưởng	思路
Hợp đồng	约定
David	大衛
phi hành đoàn	船员
Không thường xuyên	不常
nhà tù	监狱
Cấp	品等
quá đáng	過多
Giải thưởng thành viên	員獎
Kevin	凱文
Xa lánh	漷
Trong thành phố	城内
Alsace	阿尔萨斯
Shidi	士第
con đường	逕
Kế vị	继任
hoạt động	行動
Aff	阿弗
Lhasa	拉薩
sự đốt cháy	燃烧
Số tiền là	量為
Người bạn đời	配属
con đường giữa các trường	塍
Tranh cãi	之爭
Wuxu	戊戌
trượt	霤
Khai thác	剥削
Giải quyết	化解
Khối	崽
Nhớ lại	记
bờ biển	岸邊
Fu'an	福安
Sẽ giữ	會執
Quốc huy	盾徽
Khu vực đảo	島區
Nian	輦
Công quốc	公國
bán kính	半径
Bài hát nổi tiếng	名曲
Meli	梅利
Kowloon	九廣
Người đàn bà xấu xí	嫫
Quân Thanh	清军
Tấn công lén lút	偷袭
nó là	其
Cá chim	鲳
Babylon	巴比倫
kẹp	钳
Shao	魾
sắp chữ	排版
hỏi thăm	诜
Hồ Nam	南湖
Ngày 24	二十四日
Vạn tấn	萬噸
Cổng vòm	牌楼
Đại biểu NPC	人大代表
Nước xốt	酱
thích hợp	恰當
Yi	栿
Mãn Châu	滿洲
Cái đầu	团长
ngập	潦
Quy tắc của pháp luật	法治
Sông băng	冰河
Cả hai giới	兩性
Dòng đông	东线
nồi nấu kim loại	坩
Xếp hạng giữa	跻身
Phiên âm	誵
Trung thành với ai	忠於
Poop	便
Tongfu	統府
mộ	陵墓
Bươc	邁
thảm họa	灾
tải	負荷
Chỉ huy	统帅
sai	不實
Chống lại	對陣
Âm	猐
Châu Á	亞語
buồn tẻ	爚
băng thông	頻寬
Môn đồ	之徒
Lưu trữ	收容
Tranh giành	橔
Bộ gen	基因组
Yi	勹
thị trấn	乡
Đồng tác giả	合著
Người Mỹ gốc Phi	非裔美国
Mụ Na	木乃
nhảy lên	躥
Sri Lanka	斯里蘭卡
Không đầy	未滿
Nhỏ hơn	較小
du thuyền	巡弋
hạt dẻ nước	荸
Chờ đến trường	等學校
Mua, tựa vào, bám vào	购置
bọ chét	蚤
ăn cướp	抢劫
Lĩnh vực và	場與
Quốc gia và	國及
Xuất sắc	叱吒
mơn trớn	挲
lấy đi	带走
cá chép	鯉
Ngai vàng	皇位
Tất cả thời tiết	全天候
Cá chình	鱔
chuỗi	弦
Kết hợp	編入
Đường hoàng tử	太子道
Feicheng	肥城
Sacral	骶
London	伦敦
giới tính	性別
Trung đoàn	團軍
Kun	崑
Ngỗng hoang dã	雁
Lãnh sự	领事
Plutonium	钚
Thừa kế	承繼
Di tích văn hóa	文物
rạp hát	戲院
Ngai vàng	帝位
Ying	鞴
Sự miêu tả	说明
Ranh giới	分界
Hải quân	水軍
Quốc tịch Trung Quốc	中國國民
Tulu	图卢
sao chổi	欃
Bàn giao	交给
Odontosaurus	齒龍科
Hủy diệt	歼
Tần	沁
gộp lại	總額
bình Minh	暲
Mỡ động vật	桕
Tấn	郘
phương pháp	方法
vu khống	訕
Đến Shi	致仕
Đi	橓
Đạo đức	士氣
tuân theo	服從
Mờ nhạt	敨
Từ	一詞
gián điệp	間諜
Đọc	讀取
Madhya Pradesh	中央邦
rực rỡ	华丽
Lagrand	拉格朗
phía đông	東
Tuần thi đấu	賽週
Khi này	當這
Địa mạo	地貌
Mesopota	美索不达
phòng thủ	捍
chăn nuôi	孳
Tát	瞕
Hộp đạn	彈殼
đốt lửa nghi lễ	槱
chủ nghĩa Mác	马克思主义
Dazhou	达州
Ông già	妟
Sách cổ	古籍
Đặt	置於
dép gai	屩
sầu muộn	懑
Xẻng	镡
tòa tháp	塔
Lang băm	僉事
đầu lâu	髑
Thiên nga	天鵝
thực hành	实践
thấp nhất	最低
HG	汞
Xứ Wales	威爾士
Bas-Rhin	下莱茵省
Luẩn quẩn	狞
ổn định	枥
Hình thức âm nhạc	曲式
Bài đăng	張貼
hủy hoại	摧
Trưởng đảng	黨總
Mạng lưới đường bộ	路網
cờ	旗
Đa dạng	各种
xem xét	考虑
dồi dào	瀌
Súng tiểu liên	冲锋枪
Nắm bắt	扣押
Đưa cho	赋予
Hòa giải	调解
Thảo mộc	草本
Đánh bại	战胜
Ra mắt	登場
Zhu	苿
Truyện tranh	漫畫
Giải Giai điệu vàng	金曲獎
Phần dưới	下部
Wei Ye	维也
Yên tĩnh	謐
Phai màu	淡化
vịnh Ba Tư	波斯湾
Thời gian	間則
chim gõ kiến	鴷
Tổ chức	憲
Tát	肜
Ghế	座席
giám đốc	导演
Nga hoàng	沙俄
nhóm	小组
Xứ Wales	威尔士
Tiết kiệm	慳
Bạn bè	好友
Ville	维莱
Nago	名古
Ye	聒
Moser	摩泽
chơi	玩耍
Không hài lòng	不服
Sumata	蘇門答
Được xây dựng trong	內建
con hàu	蛎
Hôm qua	昨
Recycle	回收
Tát	蹐
Bộ sưu tập sách	藏书
Khu bảo tồn thiên nhiên	自然保护区
Bằng tiếng mẹ đẻ	母语
hạt dẻ nhỏ	芧
Luật dân sự	民法
cá đuối	鸐
Đồn cảnh sát	派出所
Băng qua sông	渡河
Người bắn súng	射手
bỏ cuộc	放棄
Nhân lực	人力
Năng lượng mặt trời	太阳能
Tóc quân đội	軍發
đất đai	陆
mang đến	带来
Đi biển	出海
Co thắt	挛
Marshalling	編組
Zigong	自贡
Beichen	北辰
thăng chức	提拔
con hàu	蚵
lưng gù	偻
Tây Tứ Xuyên	川西
Sài gòn	西贡
Hamm	哈姆
Hàm trên	上頜
Sau khi thay đổi	變後
Yun	鋞
Sự kiện	事記
Dài	竜
trong nhà	室內
Các sản phẩm	製品
khủng bố	恐怖
sự quản lý	管理学
đối lưu	对流
Nhân loại	人類
cây sung	梧桐
Khu vực hội họp	会区
dựa theo	按照
Golden State	金国
Giao thức	议定书
Heinrich	海因里希
Kea	基亞
cấp trên	优越
trang hoàng	缛
Trong số hai	出兩
Mập mạp	茬
nghèo	窮
Giáo dục	教育界
biển cả	公海
Hitachi	日立
sự quyết tâm	判定
Abdou	阿卜杜
Walter	沃尔特
Nhóm	基团
quai hàm	顎
Khu vực	大區
Max	马克斯
lớp trên	上層
mã hóa	編碼
Gundam	鋼彈
Hai	兩名
ga tàu	駐地
Nhanh	齋
Đảo Hồng Kông	香港島
đều đặn	正规
Trận chiến này	此战
Vội vàng	鈜
Fen	芑
thuyền buồm	帆船
sắc lệnh	诏书
Tiếng hà lan	荷兰语
Tiểu bang Mori	森州
Khảo sát	测绘
Công việc của chính phủ	政務
Frederick William	腓特烈威廉
Trong đội	队中
nhà hàng	酒家
Quốc giáo	国教
kêu vang	鐺
chính trị	政治学
Ya	衙
Ting	汀
Xem	看作
Yun	汔
Si	瞀
chim bồ câu	鴿
Mel	梅尔
Swa	斯瓦
Qi	蕲
Chính trị	政坛
Ễnh ương phương đông	鷽
Thượng nghị viện	参议院
Bất động sản	物产
sức mạnh	強度
rượu	醇
đĩa	圆盘
Mite	蟎
nhóm	組
Địa điểm	場地
hàng rào	籬
Đạo công giáo	天主教
Ming	旟
Lai	僴
Sự hy sinh	牲
Gây quỹ	筹款
Trình duyệt	浏览器
Giám đốc	总管
Xe đua	赛车
Wei	煒
trên sân khấu	在臺
chỉ	只是
không trang điểm	缦
Hu	胡
Jidong	冀东
kẻ cướp	土匪
Tver	特维尔
một chút	稍
gương	镜
Schleswig Holstein	石勒苏益格荷尔斯泰因
lò lửa	鑪
Chào	嘿
Có xu hướng	趨
Quyết định	決定
hướng dẫn	感应
luận tội	劾
Tổ tiên	始祖
nổ	爆
Tang	漌
Nee	倪柝
Cho đến chết	至死
Na	納
Sáng	輝
Nhăn mặt	蹙
Nhà ở công cộng	公屋
thịt hiến tế	脤
Sắp xếp	排序
Angler	鮟鱇
Trong suốt	透明
Luôn luôn	始终
Xô Viết	苏维埃
Có một cuộc hẹn	有約
Tấn	莟
ngay thẳng	直立
Qi Guo	齊國
Cảnh báo bão chung	聯合颱風警報
Danh sách rút gọn	入围
Luce	卢斯
Trang điểm	妝
Mở rộng	擴展
Quy mô	鱗片
Gắn kết	裱
Dordogne	多尔多涅省
thẩm phán	法官
bánh xe	轮
Jing	璔
Yamato	大和
Phiên bản tiếng nhật	日文版
Nói dối	躾
Xi	僩
Dura	杜拉
thưởng thức	享受
Mối đe dọa	威脅
trì hoãn	推迟
biển phía đông Trung Quốc	东海
Tun	暾
Tài nguyên	资源
Zhu	徂
Đường	糖
Quan chức cấp cao	高官
Shi	轣
Kết cấu	構
Xi	僲
vạch kẻ màu đỏ	紅線
