Lụa	絹
Montana	蒙大拿
Đường vào	線於
khán giả	聽眾
Dang	簹
Bắn	槍殺
Tê	耔
Sima Yan	司馬炎
Khác với	別於
Muộn nhất	最晚
Lập trình	編程
Bao vây	圍賽
Wenwei	文為
Hạ gục	淘汰赛
Lừa dối	棐
Vượt qua	遞
thầu dầu	腽
Blanch	焯
Abha	阿布哈
Diễn viên	铸
mỗi	每
phân tích	分析
Lam	欖
giải thưởng	奬
Gạo nếp	醨
Nữ hoàng dài	長後
Quận He	和县
Mỗi kỳ	每期
cây rơm	嶺
huyền diệu	神奇
đói bụng	飢
hiệu ứng	效应
chết	殂
Tài trợ	融资
cộng hưởng	共鳴
Tiếng Anh	英
gạch tráng men	甓
Tổ chức	筹办
Đau khổ	廌
Bộ Tư pháp	司法部
xây dựng	建筑物
Đối với thức ăn	為食
Na	呐
Kịch	話劇
Gặp gỡ	邂逅
Âm	訔
Hoàng đế Meiji	明治天皇
Gru	格魯
Đơn nữ	女單
Các nước láng giềng	鄰國
Mức lương hàng năm	年薪
phủ nhận	否認
cả hai	倆
Khá phổ biến	頗受
nghe	聼
triệu	百万
số liệu thống kê	统计
theo chiều dọc	纵
thanh kiếm	铗
Cái cằm	頷
kinh nghiệm	经验
tiếng Nga	俄文
Trường Xuân	常春
điểm phía Bắc	北角
Osmanthus	桂花
Nie	聶
Đã có	有過
Chanh	柠
đồ dùng bị hỏng	楛
Ở gần	臨
Lá cây	叶
Kính ngắm	取景
bóng râm	蔭
tiếng Đức	德裔
Sui Yu	遂於
đốt cháy	烧毁
William	威廉
siêu	超級
nhát	愐
California	加利福尼亞
Cái nhìn của công chúng	公視
Xi	鍚
Con trai	男童
Bordeaux	波尔多
Dầm sau	后梁
Huỳnh quang	荧光
Chi	錻
nâng cao	預先
Đường chính	幹道
Barcelona	巴塞隆
Wow	譁
Thô	觕
con hổ	猛虎
Dier	迪爾
Nhân tạo	人为
lớn lên	長大
Sau khi sụp đổ	滅亡後
Sinh thái học	生态
Sâu	蚼
Li	黡
Tarim	塔里木
Biên dịch	编撰
Banyan	榕
Rút tiền	撤軍
đúng	右邊
Chỉnh sửa	修飾
củi	樵
Trực giác	直观
Khu vực nước ngoài	洋區
Kinh thánh	聖經
Thân tàu	赫爾
Nhân vật	身影
Bất lợi	弊
Đại học Thanh Hoa	清華大學
Kejinshi	科進士
Cướp biển Nhật Bản	倭寇
Thống đốc	總督
tiện ích	效用
Chủ nghĩa duy vật	唯物
Thức ăn cho cá	食用魚
Giết người	命人
King Xiang	襄王
Bunji	文治
Phòng ngừa	预防
cà ri	咖哩
mong manh	嬝
dịch	流體
Cuộc điều tra	偵查
chiến thắng	胜利
Pháp luật và mệnh lệnh	治安
Ác tính	惡性
cương cứng	勃起
điện báo	電報
tỏi tây	韮
Quốc gia	該國
chap	皸
Tây Sơn	西山
Kết xuất	渲
Trong trạng thái	州內
phụ trợ	輔
Dựng lên	竖立
đuôi tàu	舳
Hai nước	兩國
Tàn bạo	戾
Chỉ đạo	有向
Đánh vần	咒語
phước lành	祝福
góa phụ	鳏
côn trùng	虫
Một đầu	一頭
Mét	计
Heidelberg	海德堡
Tây Kowloon	西九龍
Ngay sau khi	權後
Tỉnh Quý Châu	贵州省
căn bản	激進
tẩy rửa	祓
Kho chứa nước	蓄水
Gia Khánh	嘉庆
Thành phố Trung Sơn	中山市
tuyệt quá	极大
không rõ ràng	缈
Trao giải thưởng	获奖
xe cứu thương	救護車
Nước Ý	義大利
Mười chín	十九
Đúng đắn	義者
McCartney	麦卡特尼
Tiến bộ dân chủ	民主進步
ý tưởng	念頭
con lợn	猪
Zhu	璛
Văn phòng	公室
Ờ	祾
Doron	多伦
còng tay	杻
Triển khai thực hiện	實施
Zhoushan	舟山
Nai	鼐
Xuân	狓
Trợ cấp	補助
dấu	記號
lưu lượng	流量
Tolia	托利亞
Dường như	看来
bộ	定
Đất	地
Ami	阿彌
Kun	崐
Ma Cao đặc biệt	澳門特別
Cho lần đầu tiên	為第
Alexandra	亞歷山卓
Một trong những thành viên	員之一
gián tiếp	间接
Nico	尼科
Trực tiếp	活的
mùa khô	旱季
Căn cứ	基部
con châu chấu	蚱
rẻ	賤
xương bàn đạp	镫
Ngoài khuôn viên trường	校外
Văn phòng quản lý	管理所
Tây Phi	西非
Muội than nhỏ	小煤炱
Trung đoàn	該團
Liu	刘
Sq ft	方呎
nhà ở	議院
Bộ trung tâm	中央集
Hum	彐
Lek	列克
Trận chiến ác liệt	激战
Sway	斯威
Sự tàn bạo	暴行
hòm	方舟
giả vờ	佯
Đến	來愈
thực tế	事实
Huashan	华山
Cây rơm	棧
đêm trước	前夕
Từ	來自
không khí	晾
bờ Nam	南邊
Mùa thu trắng	秋白
Lee An	李安
viêm	炎
Tổ chức	宿主
Faey	霏
ghi lại	錄得
bói toán bằng rơm	扐
Qi	槴
Phi cơ	航空器
Người Bồ Đào Nha	葡萄牙語
CMB	中巴
Con nai	獹
bán	出售
Một tá	十几
nâng cao	高级
Đặc biệt	尤为
Ở lại	停留
Người ngoài hành tinh	外星人
ngủ	寝
Ủy ban	委會
kiệt sức	憊
Thể rắn	固態
Xấu hổ	榁
bố trí	铺设
cừu	羊肉
Quăng	托斯
Nhạc Phi	岳飞
dỗ dành	閧
học thuyết	学说
quỹ	資金
chăn yên	韉
Philip II	腓力二世
Là	乃
Tai nạn trên không	空難
Bonito	鳣
Lawrence	铹
Bùn vàng	黃泥
Nổi dậy	反抗
Heartland	心地
Gầy	薄的
mạng lưới	凈
trên	上
Âm	瀔
bến tàu	塢
Không có gì	無可
Số thực	实数
Và	幷
Và di chuyển	與動
Trầm tích	沉积物
Thành viên gia đình	家属
Nước thành viên	員國
đại sảnh	霍尔
Anh ấy và	他與
Thế giới	世間
Itabashi	板橋
Nhập trường	場進
Xiaolong	小龍
Dữ dội	重度
Giáo dục trung học	中等教育
trứng vô sinh	毈
Đau khổ	惣
ngày	白天
Treo	悬
Bán	販
Người chơi	选手
Frigate	护卫舰
Công	珙
xenon	氥
cháo	穈
đá quý	璨
chỉ	刚
Thận trọng	保守
lỏng lẻo	鬆
Jiro	二郎
Đây	玆
ốc lắp cáp	腺
Kiev	基辅
Zhuan	顓
Văn phòng	办公厅
Yi	侾
Yên tĩnh	蛨
Cổng vào	入口
Bảo trì	機務
Gothic	哥特式
E	戊
Tugua	土瓜
Si	菎
Không khác nhau	無異
Khuazi Mo	花剌子模
Nib	尼布
Chất thải	废
đồng cỏ	牧场
Tên viết tắt	声母
Cleveland	克利夫兰
Newze	紐澤
Làm giả	锻
Nga	俄国
Quyển sách	該書
Abba	阿拔
Algiers	阿尔及
hết giờ	暫停
Xikang	西康
Người hâm mộ	樂迷
lỗi	錯誤
tỉnh Giang Tô	江蘇省
trên	关于
Với	著
Tăng lên	昇
ngủ	睡
cây lau	萑
Huấn luyện viên	主帥
Cửa quay	閘機
Wuling	武陵
Liu Xiaobo	刘晓波
ngân hàng phía đông	東岸
thiền học	禅
Đêm	魮
Takamatsu	高松
học thuyết	學說
dựa vào	羸
xương sống	脊椎骨
cây gai dầu	蔴
Cô	嫡子
Crossfire	交火
mận	梅
Trong hồ	湖中
Võ sĩ quyền Anh	义和团
giải nhì	二等奖
Sẵn sàng	準備
Ở lại	留申
Oxazine	嗪
Edward	愛德華
chịu được	抵擋
Nguyên nhân	病因
Pre	普雷
trên tàu	机上
Lịch sử tự nhiên	博物
món nợ	债
Tên	起名
Ngắn mạch	短路
Người Mỹ gốc Phi	非裔
Có một tiểu sử	有傳
Cụm hình cầu	球狀星團
Vảy	藂
thuốc màu	颜料
đường mía	蔗
Cảm quang	感光
song song, tương đông	平行
Muhammad	穆罕默
Đường sắt Đài Loan	臺鐵
Làng Nam	南村
Dinghai	定海
Giới thiệu	引种
Kể từ thời thơ ấu	从小
sự thích nghi	改编
Căn cứ	本营
đông bắc	東北
Ứng cử viên	人选
Vương miện	皇冠
không nhiều	不多
Kiểm tra	考中
Xây dựng	營造
Cây ngang	祣
Hoàng đế	天皇
Đánh nhau	斗
Nước thải	汚
lỗ hổng	差距
Mọi người	尔人
xuống	毧
Thier	蒂耶
nhai	咀嚼
người Trung Quốc	漢
Đường sắt quốc gia	国铁
Đính kèm	依附
Tiệc	饗
Xuân	礮
Buồn phiền	惤
Dưới	轄下
hư hại	损
Ông chủ	老闆
Bầu cử trực tiếp	直選
Tiêu chuẩn	标准
khô	幹
Nhóm tiệc	党组
Oh	唎
Hộp số	齒輪
Ghét bỏ	辱
Tinh hoàn	睾
Chính thức	官員
Gốc	产地
Sở thích	愛好
Cây cung	艏
ngủ	眠
Đau khổ	遭
Qi	祺
màu xanh lá	格陵
Ga tàu	駅
Bỏng	伯恩斯
Paula	保加
Khiêm tốn	倽
hình chữ nhật	矩形
Miao	淼
Teng	腾
Lốp xe	泰尔
Cá chình	綱鰻鱺
Tấn công	袭击
Sau đó	爾後
Bạn	猷
Li	苐
giết chết	勠
Ở trên	上文
Alp	阿爾卑
Yi	賨
Biến dần	漸轉
tiếng Nhật	日語
Bis	俾斯
Pu	浦
nồi	壺
Haicheng	海城
Ảnh bìa	旛
hài hước	幽默
Warren	沃伦
Buổi tiệc	晚會
Như	上為
Anh ấy đúng	他對
sự bành trướng	扩充
ngũ cốc	谷物
Phiên âm	誐
Trung Hoa Dân Quốc	中華民國
UAE	阿联酋
đàn ghi ta	吉他
ngày càng	日益
Voss	沃斯
Diễn dịch	诠释
Nevre	涅夫勒
bảo vệ	警備
Jie	卩
Nafa	纳法
Đầu tiên	首架
xóa bỏ	刪
Kẻ ngốc	谼
Niao	垹
Huh	唖
nguyên liệu thô	原料
Tờ báo	該報
mua tín dụng	賒
họp báo	发布会
Đài phát thanh	電台
hỏa tiễn	飛彈
vật nuôi	寵物
Đang chờ đợi	等職
Dựa theo	照
đã phát triển	發達
xúc xắc	骰子
chủ tịch	大总统
Tiệc tùng	黨黨
Lins	林斯
thầm lặng	默默
Ghi công	歸屬
Chũm chọe	镲
Trường học	該校
Meizhou	梅州
Tai và mắt	耳目
Fuxing	福星
giao hưởng	交响曲
Tây An	晄
Hán-Đức	中德
Tòa án quân sự	军事法庭
Shi Jing	石敬
nhấn	印书馆
Amide	酰胺
Iliac	髂
nhận được	领取
Yinwei	銀緯
Miami	迈阿密
đêm khuya	夤
Phương sách	度假村
Máy bơm	泵
Hàng ngàn	萬千
Ít hơn	减
Mang lên	造就
Yamada	山田
Giáo phái	邪教
chỉ có	仅
khu vực	区域性
bộ Tài chính	財政部
Bụng to	大肚
tất cả	皆
Phía trong	圍內
dẫn đường	导航
Ert	爾特
đặt hàng	订购
Trao đổi	交汇处
Tiếp theo hai	下兩
Đàn anh	荏
nhận con nuôi	採納
Cửa màn hình nền tảng	月台幕門
hổ thẹn	恧
pháp luật	法
Bướm đêm	螋
công cộng	公家
Di chúc cũ	舊約
huy chương bạc	銀牌
Phiên bản Trung Quốc	中文版
Phó trưởng phòng	次长
Văn phòng chungcó lẽ	聯辦或许
cung cấp bởi	供电
khí tượng	氣象
theo chiều dọc	竖
Montreal	蒙特利尔
Xiao	擭
Orifice	窍
Khu dân cư	住宅區
Sau giờ học	學後
chủ nhật	星期天
ngoài trời	戶外
Simon	西門
Tiao	滠
Sau khi nhậm chức	任後
Bệnh viện	院的
Dài	隆
cài tóc	髽
Zhang Zhidong	张之洞
Thu nhập và chi tiêu	收支
Người nhận	機匣
trăm	一百
Hàng châu	杭
sấm sét	雷霆
che	掩護
Thành phố	直辖市
Chống lại không khí	對空
Thời gian dòng	線時
bàn thờ	祭坛
Bạch đàn	桉
mạch đập	脈衝
Thị trấn quan trọng	重镇
vinh quang	咺
Reel	辘
dụng cụ	工具
Pru	普魯
từ	离
Tan	粦
Scotland	苏格兰
Bộ phận quân sự	军分区
đánh bại	打敗
âm nhạc	音樂劇
Chặn bản sao	刻本
Quan	銓
Mo	谟
Trên danh nghĩa	名义上
Thứ mười bốn	十四日
Không thay đổi	恆
Mục đích	旨
mong manh	馐
Ku	揆
Ngôi sao điện ảnh	影星
Chủ nghĩa xã hội	會主義
bào ngư	鮑
Tỷ lệ phòng thủ	防禦率
lớp học	类
Người thay thế	替代
Lewis	刘易斯
Phi nước đại	棓
nhà ái quốc	爱国者
cá tầm	鲟
sức mạnh quốc gia	國力
Dowa	多瓦
Gấp đôi	為雙
Eli	埃里
Ngừng việc	停工
Chim ưng	鹞
Nhân Viên	幕僚
Chuyến thăm	探訪
người cầu nguyện	祷
dâu tằm	椹
chuyển khoản	換乘
Ông chủ	老大
phát biểu	演說
Cuộc đua	競逐
Chiếu	俁
Chunghwa Telecom	中華電信
Trên núi	山上
Người Venice	委内
Oh	唡
Dara	达拉
Hoàng đế Tần Thủy Hoàng	秦始皇
Cô đơn	澒
Huh	呣
Chu	蕕
Một phần	偏
phía đông	以東
Pennsylvania	宾夕法
Jordan	约旦
đày ải	放逐
Bất lực	无力
Lưỡng lự	勉
Đường phân chia	分界线
Trong nước	國產
Xinhe	新河
Họp lại	联欢
chứng minh	證明
Mất đi	失落
Thoải mái	自在
Đề cương	大綱
Cuộc đình công	绝食
Thuật sĩ	觋
gỡ lỗi	调试
Vâng	恩
Qi	齊
đàn organ	器官
Ye	晔
Hydroxit	氢氧化
ngoan cường	顽强
Trường thể thao	体校
Bầu không khí khách	賓大氣
thú vật	動物
Du học	留学
hạt	微粒
Đất và đá	土石
bánh crepe	绉
lương hưu	退休金
lái xe	駕
kỷ niệm	紀念
Đi về phía nam	南下
Nói	講述
Zou	邹
Quốc vương	国君
Tỉnh Hiroshima	廣島縣
Giết chết	擊斃
họ	它們
Phản hồi	反馈
gửi	派出
Lam	榄
thư viện	文庫
Quận Kwai Tsing	葵青區
bờm	鬣
cảm thông	同情
độc tố	毒素
nhắc lại	提醒
Quốc gia	全国性
cốc	盃
Bộ Nội vụ	内政部
Thành phố Thanh Đảo	青岛市
vì thế	故在
Sha	鯒
trung tâm	毂
Hiệp hội xúc tiến	促进会
Tấn	磏
đồ sơn mài	漆器
Stadt	施塔特
Luo Ji	羅紀
Shire	夏爾
Guo	郭
Đọc to	宣读
Vội vàng	慓
thuốc uống	药物
Mang	馱
chỉ có	止
Bí mật	暗中
Kentucky	肯塔基州
Nghiền ngẫm	刍
Wan	皖
Jin	晉
hành trình	航程
United Emirates	聯酋
Giang	滛
vật	物体
Mến	花式
Nổ	炸药
Tấn	忷
cáo	狐狸
lên đường	掀起
Đổi	皈
Zhe	蓰
run sợ	顫
Nhân từ	仁親
thịt ức	脡
vật chất	物质
Đàm thoại	谈会
thật	真
tên miền	域名
món thịt hầm	焅
Dễ dàng	易于
chưa kết hôn	未婚
Yan	寉
Quận đặc biệt	特縣
Mới đến	傳入
âm mưu	密谋
Hoa sen	荷花
Peru	秘魯
hủy hoại	摧毁
Yao	瑶
Đi đến	轉到
Zhong	锺
赜	赜
rau thì là	虷
bố	父
Sinh tại	生于
Nghe nhìn	影音
Thế giới	寰宇
Giữ	攥
Ba thế hệ	三世
Khung xe	底盘
Đảng Bảo thủ	保守黨
người ngoài cuộc	外人
Tensor	張量
Yun	郧
vượt qua	交
trẻ	幼
Jian	笕
buổi triển lãm	展览
Tấm	張單
Đại nguyên soái	大元帅
Làm	使到
Giáo dục	育
Miệng khổng lồ	巨口
cây ngưu bàng	蒡
Tân Hoa xã	新华社
Cá trích	鲱
tan chảy	融化
Đây	此处
Colorado	科羅拉多州
Guancun	关村
Năm mươi lăm	五十五
Li	溧
Nhà nước	該州
Hình dạng chi nhánh	形科
Mặt nạ	假面
Của	之
cống	排水
Không đến	不来
Hoa hồng	罗斯
lan can	陴
Lính canh	衛軍
Canh	机翼
Kata	卡塔
Chức vụ	陣地
và cả	也
Hoàng Đà	黃大
airdrop	空投
Bảy trăm	七百
Bờ biển	岸的
Lên	瞭
sự hỗn loạn	混沌
Daegu	大邱
Trang trí	飾
Xấu	阨
Nơi cư trú	居留
Yue	樾
Kèn Trumpet	叭
Phố cổ	老城
sẽ sử dụng	會用
biên giới quốc gia	國界
Tải lên	上傳
Nam việt nam	南越
Meizhou	梅州市
Qi	綡
Hom	坎
carbon	碳
Marin	马林
nhũ hoa	乳房
ma thuật	神功
đi vênh vang	跩
Câu chuyện	物語
Quay phim	攝製
dịch vụ	维修
Huân	寰
miễn là	只要
cực	极端
Agen	阿让
Phiếu mua hàng	券
Sơn	髹
Alaska	阿拉斯加
Trường hợp khẩn cấp	应急
Darwin	達爾文
Chủ nhà và khách mời	主客
Qi	觙
quân đội	軍隊
phản đối	仵
Chân thành	懇
Lãnh thổ	境內
bình thường	平凡
Evans	埃文斯
đến	來到
Rotter	鹿特
sân khấu chương trình	舞台劇
ngoại hôn	婚外
Tập trung vào	瞩
Trang bị	武装
tài giỏi	僬
tòa án	法庭
vận chuyển	運送
Căn cứ	基底
Sâu đục	螟
Một lát sau	後即
Gấp đôi	双人
sự trả thù	報復
cà vạt	紮
Lion Rock	獅子山
Cặp giữa	中對
khí quản	氣管
cho đến khi	迄
Vui lòng	快感
con đom đóm	螢
Con dâu	媳
lãnh chúa	军阀
Frederick	腓特烈
Tháp trắng	白塔
Điều này	這一
Quân đoàn	总队
Sông hồ	江湖
Mìn	地雷
Sinh vật hạt nhân	核生物
Heidegger	海德格尔
âm thanh	音響
Chia thành	分成
xeri	鈰
cấy	移植
Sỏi	石材
Trường đua ngựa	马场
Sở Giáo dục	教育厅
thích hợp	適當
Dấu vết	蹤影
Nơi sinh	生地
Trường Cao đẳng	院校
Thiết lập quan hệ ngoại giao	建交
sinh tại	生在
Tổng hợp thành	编为
Được dùng	被用
đường thẳng	直线
trứng	蛋
Cận nhiệt đới	亚热带
lớp học	班级
tiền vay	借款
Sith	西斯
Pyridine	吡
bức tượng	塑像
Lin	璘
Thành viên cho	員為
Taichung	台中
Trimble	天宝
Chỉ	就是
chiếm lấy	捕獲
nhà hàng	飯店
Yan	慉
sóc	松鼠
bóng	影子
Mái hiên	帱
Luo	箩
đẹp	英俊
Tia cực tím	紫外線
đẹp	俏
con cóc	蟾蜍
sự cắt bỏ	切除
hệ thống	體制
Nội dung	爭奪
họng	嚨
Xie	飉
Ước tính	估算
đốt cháy	焚
halogen	卤素
Chim	鹷
Tin lành	新教
lô hàng	批量
Kiếm	賺取
Và lấy	並得到
Cắn	齧
Không khí	氛圍
Ban thư ký	书记处
Jackie Chan	成龍
bằng thạc sĩ	硕士
chức vô địch	锦标赛
người Anh	英属
Lễ hội Xuân	春節
Biwu	必武
cạnh	稜
Thành phần	組件
Cài lại	重置
Đồn điền	种植园
Trả	餉
Haoran	浩然
nhạc nền	主題曲
trông nom	觑
Âm	謦
tỉ lệ	尺度
Được biết	據報
hộ chiếu	護照
Đến Đài Loan	來臺
Vua chính trị	政王
Dựng lên	豎立
Nai	棷
Thông qua	维亚
Bộ Nội vụ	內政部
Một quận	一個縣
Có trật tự	有序
Shichang	世昌
Trực tiếp dưới	直屬
khúc quanh của một con sông	厔
bão	颶風
Số tự nhiên	自然数
Yi	懿
thích hợp	恰当
Pu	璞
rộng lớn	廣闊
Một ngày nào đó	某日
Sa thạch	沙石
Libby	利比
Trong lăng mộ	墓中
Patrie	帕特里
hàng tiêu dùng	消费品
Quan sát	观测
lãnh chúa	軍閥
Trả	饟
Thực lực	实权
Lu	蒚
Uttar Pradesh	北方邦
Đại khái	大略
kế hoạch	計畫
Phật giáo Tây Tạng	藏傳佛教
Momoyama	桃山
mua	买
Hoàng Gia	皇族
Astatine	砹
từ ngữ	单词
nai	麚
Tintin	丁丁
Val	瓦尔
Sanhe	聖荷
Ở ngoài	外侧
Đứng như	立為
Hung dữ	狋
Khôi phục	恢
Diêm Vương	燕王
Sóng gió	湍
Hà Châu	河州
Phòng ban	學系
Kasahara	笠原
Tianlong	天龍
Lò sưởi	热器
chuông	钟
bàn	表
Quảng trường	平方
Cá sư tử	獅子魚
Cứu trợ	賑
Lanco	兰科
Poch	波希
Thuốc phóng	推进剂
với	跟
Quan thoại	柑
McCarthy	麦卡锡
Sở cứu hỏa	消防局
Jing	荊
rừng đá	石林
Top mười	十佳
Đi dạo	散步
lộ trình	要道
Quốc tế cộng sản	共产国际
thích nghi	容纳
Trông giống như	樣子
Pei	裴
may	绲
xoáy	潆
Kiệu	轎
phổi	肺
Xi	汐
to	薖
tập trung vào	专注于
lạc quan	樂觀
thảo mộc	草本植物
Hạt	县县
riêng tư	私自
phân biệt	區分
Chì	領銜
Trực tuyến	上線
Kinh phật	佛經
cuộc sống biển	海洋生物
Adams	亚当斯
Ooli	鲕
Đối với	以供
Chạy xuyên qua	貫
Mảng	陣列
Nhạc jazz	爵士
ga tàu	车站
Xihe	西和
Trên sân khấu	上台
Provence Alps	普罗旺斯阿尔卑斯
Vui mừng	逍
chưa quyết định	躕
Đến	踠
Đấu thầu	嫩
Và gửi	並派
Vượt qua	傳給
joule	焦耳
Ai	噯
Trung gian	中間
bước đá	磴
Hải cảng	埠
chiếm	佔據
núi mùa xuân	氿
Linh hồn	靈魂
thuốc màu	色素
Jingxi	京西
Âm	釿
chiếu trúc	簟
Bắc bán cầu	北半球
đường bang	國道
Tân sô cao	高频
thầu dầu	膃
Hy vọng	可望
hoạt động tình dục	性行
Tuyền Châu	泉州市
Không cần thiết	不必
Sao biến đổi	變星
nguyên mẫu	原型
Zh	欘
trâu	水牛
bệnh cố chấp	痼
Ngốc nghếch	魓
rủi ro	风险
Liên bang	英联邦
Điểm hẹn	交會
lưỡi liềm	鐮
Zhao	櫂
dịp tốt	時機
Nước đi này	此举
chuyên môn	特产
già chuyện	哝
Tong	莵
Hu	鵠
Quân cách mạng	革命軍
Ying	頴
Sữa	乳
Tốt bụng	是種
Machi	町
Làn đường	車道
Màu nền	底色
không hợp lệ	无效
Toulouse	图卢兹
Đồng ý với	赞同
Gr	鰡
Số Pi	鸀
Chương trình này	本劇
Biết rôi	知悉
bó	束
Đặt	將該
rùa biển	黿
Đổ bộ	落地
chiếm đoạt	劫持
Zhe	柘
Jingzhou	荆州
Chibi	赤壁
Sự phẫn nộ	忾
Người phạm tội	罪人
Lộ trình	潰敗
cưỡi ngựa	騎馬
Ngành công nghiệp	实业
Vạn đò	鈢
Tốc độ	極速
Hiện nay	現已
ức chế	抑制
Trường sa	長沙
bệnh lao	結核
ngắn	短暂
chân tay	肢
Bài hát vàng	金曲
lẫn nhau	互
Ni	倪
Bà ấy	佘
tiền lương	薪水
Âm	龑
Bùi	布宜
Vincent	文森
Không	上沒
Vắt kiệt	抅
mời gọi	邀請
Trường hợp	该案
Làm nhục	諉
còn lại	遗体
Kẹo cao su	龈
Ủy quyền	代理
Mảnh này	這塊
Trên bờ vực của	瀕臨
ête	醚
Hoàng đế	帝王
Dinh thự	府邸
rừng tre	篁
Đàn piano	琴
con trăn	蟒
uống	喝
Từ ngữ	詞語
Những trạng thái	個州
Yuxi	於西
Thủ lĩnh	领军
Fiasco	惨败
Nghệ thuật và Khoa học	文理
Và hơn thế nữa	及於
vì kèo	椽
lòng bàn tay	棕櫚
Yue'e	月娥
Qiu	邱
hạt dẻ nước	薺
sau đó	接着
người Pháp	法属
Phải	只得
Runan	汝南
Nhón chân	踮
phá dỡ	拆毁
trà	茶叶
mài ngọc	礪
cắn	齮
Tiếp theo	下述
Thịt ba rọi	培根
Cho vẻ đẹp	為美
Đã in	印製
tránh xa	逃離
Thu phí	收費
Hội nghị	国会
Cao cấp ba	高三
Tây An	譋
giải thưởng	獎
Nuo	傪
Tần	秦
Gu	虢
Phục hồi	平反
Fu	馥
Thời gian thực địa	場時
Thời thơ ấu	兒時
Từ là	字為
Ngồi về hướng bắc và quay mặt về hướng nam	坐北朝南
Dưới rừng	林下
Sao chổi	彗
Yan	彥
nấu nướng	烹饪
leo lên	攀登
Tham dự	參
Áo giáp	裝甲
con rái cá	獺
trừ khi	除非
Cá mập	鲓
Nhiều con hổ	虎隊
Chan	铏
Mang hành lý	載客
Lễ	典礼
Chỉ	展演
Được lai tạo	孕育
Bụi bặm	掸
Viên thuốc	丸
sự thật	真相
vở ballet	芭蕾舞
viêm phổi	肺炎
Nán lại	縈
Cho cả nước	為全國
Di chuyển	感动
Gặp	會及
Di tích cổ	为古遗址
Napoléon	拿破崙
Hoàng	湟
Sự sụp đổ	溃
Rong	穐
buổi sáng tốt lành	早安
bỏ trốn	逃走
Cờ vua	象棋
Đi lang thang	徨
Hejian	河间
Quận Cao Hùng	高雄縣
tìm	谋求
Bởi	會由
Yazu	雅族
hoang dã	猖
Xiao	霄
Sting	螇
Imine	亚胺
Trái bóng	鲍尔
Mã	代码
Tổng chiều dài	總長
Vấn đề	颁发
hiện đại	現代
tần số	頻
thiền học	禪
Kunio	國雄
Shu	澍
Hướng biển	海景
mu bàn chân	趺
Haizi	海子
Tang	棠
kho báu	珍寶
hướng dẫn	引导
Thính giác	聽覺
Ji Shi	紀時
Bởi	經於
công bằng	等于
Luật	律法
Nhóm	群組
Siheyuan	四合院
duyên hải	沿海
Nhà thờ	聖堂
Yell	啷
Rối	悎
Mập	肪
Yu	瑺
Máy là	機為
mỗi phút	每分钟
Điều này có thể	這可能
Sẽ làm	會令
tuyên bố	说法
Sher	谢尔
phía đông	东部
Trục	辕
Quá đáng	过分
mạnh	浓厚
Ngắt lời	闯入
mỗi tháng	每月
Cú đánh	捋
Vì mục tiêu	為目標
thua	损失
Bạn	妳
Grate	篦
địa điểm	场所
Dân chủ	民進
trên hầu hết	最上
Diễn viên	施放
Tang	衸
cây sồi	橡
Triều đại Bắc Tề	北齐
Thuế	稅收
Ga tàu	口站
Nhà gỗ	木屋
đổ bộ	降落
Nắm lấy	抓捕
Châu Âu và Châu Mỹ	歐美
trước	提前
hoàn thành	畢
Như là	此类
Portland	波特兰
Cú	鮸
Tảo	藻類
Ăn chay	素
Bộ Đường sắt	铁道部
Jeff	傑佛
tai	穟
Li	嘝
Nét chữ	字体
ánh sáng mặt trời	日照
Tỉnh ngày	日省
Giáo xứ	堂区
Erna	爾納
Beiliu	北流
Constantine	君士坦丁
Lực lượng đồng minh	盟軍
Gian lận	詐
Chịu	熊
Phát triển như	长为
Tát	跼
Yu	箦
Dải mềm	軟條
Sân khấu	登台
núi	山体
phía đông	屬東
thời gian	顳
Calton	尔顿
tiếng Ả Rập	阿拉伯文
Sha Tau Kok	沙頭角
Connaught Road	干諾道
Đại liên	大連
Ngắn	矮小
bắc Carolina	北卡罗来纳
thuốc độc	鸩
bắt đầu	开头
Đúng giờ	合拍
dân thường	庶民
thùng	槍管
có hiệu lực	有效
Số Pi	邚
Yao	爻
thể loại	類的
tài giỏi	玅
Liền kề	相邻
Giá cả	耗资
điện	电动
Đêm	晩
Quá lâu	過長
thị trấn	集镇
Sự tận tâm	奉獻
Thư viện	庫
giáo dục thể chất	体育
gói hàng	包
Năm đầu tiên của Trung Hoa Dân Quốc	民国元年
do thám	偵察
tùy chỉnh thực hiện	定制
trang nghiêm	莊嚴
phần nhỏ	分數
kiện tụng	诉讼
Zhongzhou	中州
Tây An	峴
không phải	侌
đời sống	寿命
sự sáng tạo	创作
Giống như	正如
lấy quá phần	豕
Đảng Bảo thủ	保守党
Marguerite	瑪格麗
Bao vây	薟
phút	分鐘
Ăn uống	用餐
khoa học	理科
Đẹp	帅
quyền anh	拳击
ngọc bích	玉石
cung cấp	補給
Nhà pháp lý	法家
cây phong	楓
tham dự	參與
Nghệ thuật	文藝
tuổi tác	龄
Hun	郃
Vợ của anh ấy	其妻
Luân	灤
Hu	浒
Đức phật	菩萨
Góa vợ	寡
Phòng ban	科系
Cho mới	為新
cổ áo	领
Dazhao	大钊
Ying	莹
một chút	一下
Chờ đợi đất nước	等國
Viết	寫道
Prince Consort	駙
Nước Anh	列顛
đã đính hôn	訂婚
Vigie	維吉
Reis	雷斯
