Thành phố	市町村
đắt	貴
Cuộc cách mạng vĩ đại	大革命
chất bán dẫn	半导体
nhà viết kịch	剧作家
qui định	規則
Nhặt lên	皮卡
Hải cảng	端口
ổn định	稳定性
Thám tử cảnh sát	警探
Kẻ ngốc	讕
Xe đạp	自行車
Lực lượng vũ trang	武装部队
Thành ủy	市委
Bang	昋
Chứng thư	事蹟
diễn viên	男演员
Thông minh	智慧型
năng lượng	能量
Thành phố	該市
Ming	溋
Thạch tín	栒
xanh đậm	靛
dịch vụ	服役
Phun	噏
Hiragana	平假名
Ở lại Mỹ	留美
Tari	塔里
vết trầy	刮
nhà kinh tế học	经济学家
tấm ảnh	相片
Nói chuyện	講談
Vạn lý trường thành	长城
thịt heo	豬肉
thường xuyên	频繁
Yên Đài	烟台
Jiang Guo	將國
tấm thảm	毹
tự sát	自殺
Cole	柯尔
yếu đuối	弱點
Mm	毫米
Lịch sử quốc gia	國史
Hoạt động	营运
Lý thuyết tập hợp	集合论
say	湎
Công bố	刊行
hóa thân ma thuật	氤
xà lan	堎
Solstice	至日
nở hoa	開花
Joseph	若瑟
Liszt	李斯特
Cơ sở hạ tầng	礎設
da	革
Phim và truyền hình	影視
cộng đồng	群落
dư thừa	之餘
làm phiền	煩
Ủy ban pháp luật	法委
nhà thờ Công giáo	天主堂
Zhu	杼
bóng	阴影
Thay đổi kinh sách	改經
Alice	爱丽
Ooh	嚯
Ghi lại	紀錄
Bằng gỗ	木造
thở dài	叹
Mang	運載
Mỗi lần	每逢
Đôi	双打
Takahashi	高桥
sự phân chia	除法
động đất	地震
Đối với	為阿
với	龢
Tory	托利
theo	跟随
Nhấn mạnh	影射
Tang sau	后唐
quả thận	肾
Ki	淇
rộng rãi	广为
Fourier	傅里叶
Lu	璐
chòm sao Kim Ngưu	金牛
Khám phá	探讨
Nebras	內布拉斯
Triệu	萬
đàn piano	钢琴
Hạng A	甲等
Tuck	掖
thang máy	電梯
Hoàn thành	完
cơ thể con người	人體
xúc phạm	貶
Khai thác mỏ	开采
phía đông	東部
Gợi lại	回想
Tongzhou	通州
Lagrangian	拉氏
nạn nhân	受害者
ngành công nghiệp	工業
Chuyển đến	迁入
Diễu hành dài	长征
Thêm	新加
Thông tin liên lạc	互通
Tận hưởng cuộc sống	享壽
văn phòng	办事处
Jing	涇
Treo	吊
Geer	格爾
thành công	接替
Tấn	語氣
bóng chày	蛩
Mozart	莫札特
Quan trọng	至关
Heng	亨
Bố	生父
Jia	稼
Trong tay	手里
Phát triển	開發
Mạnh	强力
Valerian	纈
Xu	許
Brin	布林
cái nhìn	睐
Muộn	後期
mạch đập	脈
đầu trước	前端
Vịt Bắc Kinh	鸳
Dap xe	遊騎
bông tuyết	雪花
Nước đá	冰
Thần tượng	神像
Hát	燶
Con mèo	猫
Nam Ninh	南宁
Massachusetts	马萨诸塞州
Dân quận	縣人
Ming	蔇
hậu môn	肛
biểu ngữ thêu	綮
Hội trường đại học	大学堂
Chaoshan	潮汕
Bu Li	卜力
Báo cáo	上报
tạo thành	捏造
người tiền nhiệm	前任
Đồ đá cũ	旧石器
Phải	鬚
Midtown	中城
Li	銭
Cấp độ	水平
Ủy ban Khoa học và Công nghệ	科委
phòng thủ	捍卫
trường hợp	事例
Xindian	新店
cùng tồn tại	共存
Hợp tác	配合
Tháng mười một	十一月
Chỉ trích	儣
muốn	欲
Pseudo	贗
nhượng bộ	让步
Quá nhiều	太過
Màu xanh da trời	蘭
Hành tinh	星球
Một ngày	一日
Ủy ban huyện	区委
cờ	旂
Mức độ nghiêm trọng	轻重
dơ bẩn	涴
Lu	鲁
Văn hóa và Triết học	文哲
Chiếm giữ	淪陷
Đàn bà	婦女
Theo	遵照
Lợi ích	受惠
hòa giải	和解
Dong	棟
Lankai	兰开
Raiders	攻略
Chen	谌
chương	章節
Tiếng Phạn	梵文
Linkou	林口
chà xát	蹭
Lời phàn nàn	控诉
Tổ chức	籌辦
Gurley	格利
Cổng thành	城门
Cho cả đội	為球隊
người chồng	婿
Si	霶
Kai	凱
vỡ	破裂
Lin Li	林立
Thời gian dài	多時
Thanh lịch	典雅
Hor	荷尔
đã sửa	固定
Khu họp	會選區
Hình dạng của nó	其形
Di	棣
thành phố San Diego	聖地牙哥
Độc nhất	特有
giới hạn	限制
đà điểu	鸵
Âm	釖
ấm áp	熱烈
Bậc thầy	高手
khu vực thiên tai	災區
Sumer	苏美尔
Trao giải thưởng	獲頒
Tran	特蘭
Angie	安琪
Căng ra	抺
Celestial Sphere	天球
họ	他们
Olympi	奧林匹
Shen	瀋
dây điện	絲
Ur	乌尔
khí thải	发射
Chân đồi	山麓
lý do	理智
Zygomatic	颧
Titanic	鐵達尼號
lữ đoàn	准將
đồng hành	陪
Quay lại	囬
mùa xuân	彈簧
Thảo luận và	論與
Pan	槃
Thỏa mãn	满足
Chi nhánh	分馆
Tù nhân	囚犯
Neil	尼爾
Sau đó	後便
Học cao hơn	进修
Bắt buộc	必修
núi	山
Định lượng	数量
Ở trên	之上
Bị giết trong hành động	陣亡
Nhận định	辨識
Tổng cục	總局
Âm	枛
Thiêu	焚燒
Castel	卡斯泰尔
Ye	谔
Tao	涛
Xây dựng	构筑
Đặt tên	冠名
Tìm kiếm	探勘
Nghịch ngợm	兎
con kênh	渠
Trước mặt	锋
Hảo	灏
Cờ vua	棋類
Yan	勄
Mooney	慕尼
Nam Triều Tiên	南韓
tiểu bang	態
Di	翟
Làm	订立
Bạn cùng lớp	同学
Đối với Đài Loan	為台
hiện nay	今天
Jefferson	杰斐逊
Khởi nghĩa Vũ Xương	武昌起义
sự thất bại	失敗
Tháp chùa	寺塔
Vở ballet	芭蕾
Máy khoan	钎
Đào tạo trẻ	青訓
Baida	百大
Toàn bộ hòn đảo	全島
M	獁
Nâng cao	进
Tang	漅
Trước trận đấu	賽前
Ban hành	頒布
Nobunaga	信長
Como	科莫
nhãn khoa	眼科
tỉ lệ tăng trưởng	增长率
Gar	噶爾
Quê nhà	籍貫
Huyền phù	悬浮
Xing	邢
quốc huy	國徽
Puli	埔里
Chu	蜌
chương	章节
Tuyến Yamanote	山手線
mong manh	袅
phóng	发动
Yu	虸
Phân khu	细分
Huyền Thành	宣城
Quan hệ tình dục qua đường hậu môn	肛交
Hiện vật	实物
Yu Dang	於當
thiên văn học	天文学
vắc xin	疫苗
Salo	萨洛
Đơn vị thiên văn	天文單位
Cho có	為是
chilblains	瘃
Những người bạn tốt	交好
Đảng Tiến bộ Dân chủ	民進黨
thang máy	电梯
So sánh	有較
Kế hoạch	普朗
Midi	美第
Nửa trên	上半部
Huang Xing	黄兴
làm	做
đói bụng	餒
Hướng dẫn này	這導
hồi phục	复苏
quần vợt	网球
Crewe	克鲁
đỉnh cao	巅峰
thiếu	缺乏
Hiện tại	呈現
Mông Cổ	蒙大
Đại học	本科生
Bệnh tâm thần	精神病
Weishui	渭水
Góc nhìn cá nhân	視角
Zhi	陟
Chơi bài	出牌
Hu	禟
chuột	老鼠
Andrew	安德魯
Yan	籣
Chuan	川
âm thanh thì thầm	嘁
phóng khoáng	自由派
bệ phóng	發射器
nghẹt thở	呛
Trái bóng	夫球
glycerin	甘油
sau đó	當年
lấy	拏
Luo	漯
chỉ	剛剛
Mở ra	展开
Allah	真主
và yêu cầu	並要求
Sau khi chết	去世後
xe tải	卡车
Zhu	篿
Tạm biệt	氎
dè dặt	谨慎
Chiếu xạ	照射
gia vị	香料
thở của lợn	豷
Taihe	泰和
CPPCC	政協
đi học	上学
Quận Hồ	湖区
Đương nhiệm	任者
Lớp con	亞綱
Fontaine	方丹
Chức năng	職能
mục đích	確定
Sống sót	活著
nhảy	蹦
thế hệ	輩
Jinta	金塔
đứa bé	婴儿
trận chiến quyết định	决战
Để theo dõi	為繼
Bắt cóc	綁架
mộ	圹
nhẫn	環
Đúng	也對
Ye	烨
Kỹ năng	技
bánh ngọt	餅
Hai	兩座
Và Đài Loan	與臺
Vĩnh hằng	永恆
Anh ta	衪
bất cứ lúc nào	随时
Beech	比奇
Franklin	富兰克林
Vùng nước	水区
Đôi khi	時沒
Tong	曨
thợ săn	獵人
Đi	多哥
Người chơi	球员
Đối với	用以
Ghét	痛恨
Whig	輝格
Ma trận	基质
Viện kỹ thuật	工程院
Cắt ra	剴
Gân	筋
khóa học	課程
không đủ	不足
Danh mục	清单
dịch vụ	維修
Khách hàng	客户端
Toàn diện	綜
Họ đậu xanh	毛茛科
chap	皲
Sản xuất	出品
bọt	沫
Anh ta	踨
huyền thoại	传说
khối Rubik	魔方
vì thế	这么
Kịch	话剧
Thung lũng	谷地
Bệnh tiểu đường	糖尿病
gien	基因
Chuyến thăm	造訪
cắn	咬
tăng lên	漲
Tsushima	對馬
Krypton	檰
Trong văn phòng	在任
Nươc Nha	本国
Grand Slam	大满贯
trò chuyện	聊
Einsteinium	锿
mũ sắt của lính	盔
Mọi người	者們
Dương	阳
Xuân	煑
Hạt	個縣
vòm	拱
Hạt	各县
cây thương	槊
Trang phục	裈
Cole	科爾
may chăn	衾
săn bắt	追殺
Thời Tây Hán	西汉
Tình nguyện viên	自愿
tự phát	自發
Derain	德蘭
Việc làm	就业
Tang lễ	陪葬
Hai mươi bốn	廿四
Gần	將近
Harada	原田
Thế vận hội mùa đông	冬奥会
rẻ tiền	亷
Ngôn ngữ tao nhã	雅語
Tần Châu	秦州
Từ điển Khang Hy	康熙字典
Giữ	控股
tham	饞
Tiếng Khmer	高棉
Ăn cỏ	草食性
Cổng vào	出入口
thulium	铥
Đã chọn	选定
chết tiệt	紩
Hecta	公頃
Bình thường	寻常
Guanglu	光祿
Tiến quân	軍進
Nước mắt	涕
lực lượng	迫
Bạo loạn	防暴
Lipai	力派
Quang phổ	谱
tarsus	跗
Quận Tân Trúc	新竹縣
Rau mùi	獽
trở ngại	障碍
Ryan	瑞安
Tấn công	出擊
Montenegro	黑山
Bốn hàng đầu	四強
Billy	比利
Bản sửa đổi	改版
Làm	造
sự phán xét	判决
quán ba	酒吧
Nyon	尼翁
Tao Xing	道行
Đặc điểm	特质
Đổi tay	易手
nghệ thuật	艺术
Dầu diesel	柴油
ga tàu	枱
Băng dán	杇
Lương Châu	凉州
Nhúng	浸
đường cát	砂糖
Máy bay trực thăng	直升機
hàng đầu	頂
Quốc gia	國度
Nhà khoa học	學家
Tuổi tác	泭
Chèn	挿
Chảo	镬
Ngũ phúc	五福
Những người khác	其他人
Điều khiển	行车
Ở đâu	凡
BBC	英國廣播公司
Hu	鬍
Nhập khẩu	導入
Quá cảnhKiểu	过境型態
Zhu	陹
Ak	阿克
Ngành và	業及
dãy núi	嵎
Tiềm năng	勢
Chăn nuôi gia súc	牧
huy chương đồng	铜牌
Tháng sáu	桚
tiếng Đức	德式
ngăn xếp thư viện	宬
Xuân	禆
Ku	巋
thịt cừu	膶
Cán bộ điều hành	执行官
bữa ăn	膳食
Bucharest	布加勒斯特
Kiện tụng	讼
Chen Jiongming	陈炯明
Tuyên bố	语句
Số một	頭號
đau khổ	遭受
Sâu	蠄
Rối	掂
Đến	來
Tamil Nadu	泰米尔纳德邦
thông minh	智能
Li	躞
Trung thành với ai	忠于
Kho	仓
iridium	铱
Âm	覔
tiêu đề	頭銜
Yu Ren	於人
Tổ chức	立宪
Đổi	交易所
Ya	鞒
Phá vỡ	击破
cái chết của một hoàng tử	薨
dần dần	漸
nhìn yêu cầu	睥
Những ngọn đồi	山丘
tĩnh mạch	静脉
Cái	块
Tháng 11	诺夫
Tin tức	聞報
khó khăn	艰
Để gửi	來發
Nao	瑙
cấp	发行
chuỗi	鏈
Sơ bộ	预赛
Chiến thắng	戰果
mã lực	馬力
Sau đó có	則有
tử cung	子宫
sẽ	遺囑
bismuth	铋
Socrates	苏格拉底
Bởi	期以
Quân đội chiến tranh	戰軍
Sau khi di chuyển	動後
Đồng tính	同态
Vật nuôi	宠
kỷ luật	纪
Dưới	底下
chuyển khoản	轉乘
Bùng nổ	嘣
hậu môn	肛門
dặm	英里
nâng cấp	升级
Hiện hành	电流
Ye	楴
rượu trong	泲
sự chỉ rõ	規範
Mẫu	紋
quà tặng	礼物
trở về	回归
Số là	號為
bờm	髳
nhìn nhận	认
thợ rèn	史密斯
Chạy xuyên qua	贯穿
lái xe	驅動
Nheo mắt	蜯
kéo	拖拉
Đa quốc gia	多國
săn bắt	大通
Còng	桎
tiềm năng	潜力
điện tử	电子
Lang	阆
cây	植物
Thuộc địa	殖民者
rất nhiều	非常
mạnh	釅
nhà hóa học	化學家
tuổi tác	年纪
Nằm trong	在於
răng	牙齿
Lisi	麗絲
Diễn xuất	演技
Bãi hàng hóa	货场
Kích hoạt	引发
tấm thảm len	氍
Xu	戌
Tổ chức lại	重整
Maine	美因
ngoại trừ	除了
màn	扆
dựa vào	依靠
Mario	马里奥
Ngoài khơi	近海
helium	氦
bánh bao	饺
Xinhui	新會
đập phá	堰
Rình rập	薷
cũng thế	還
Các ngày trong tuần	平日
Dàn nhạc	樂團
Đùi	腂
Hu	扵
Đài phun nước	噴泉
đọc	閲
năm mươi mốt	五十一
Sẽ là tất cả	將所有
sách	图书
nhiệt	熱力
Sắp tới sẽ	來將
dịch vụ phà	轮渡
Sway	淂
bó	綑
Đứng	常务
Ủi đồ	熨
Wanshi	莞市
Tắm	沐浴
điện lực	电力
nhìn nhận	認
muộn	遲
Tấn	勳
trên đó	叵
dân chủ	民主
Zhang Zuolin	张作霖
Giới thiệu	简介
Luân	黦
Đất và	地與
Chôn vùi trong	葬于
pháo binh	炮兵
Đảo Ke	克島
Kết hôn	成家
Châu Mỹ	美利坚
đáng yêu	可爱
riêng tư	私人
Liangjiang	两江
Cheng	骋
Nujiang	怒江
Nhìn bao quát	瞰
viết	執筆
đơn giản	单纯
Guyana	圭亚那
Khao khát	意欲
Sự đối lập	對立
Nước Iceland	冰島
Toàn bộ	佔總
khác	其它
địa hình	地势
Cá	魚屬
cung cấp	供应
cha	爸
Ông chủ	頭目
Ma	魎
Xương bánh chè	諌
phước lành	禠
Jiaxu	甲戌
Nếu và chỉ nếu	当且仅当
Tới vì	來為
Buồn	難過
Tên	名義
trong nước	国内
kẹp	撱
Chỉ	公映
thay thế	更换
Thông minh	优异
Ana	阿纳
oát	瓦
Hàn Quốc	韓
York	約州
Nói cách khác	換句
Qi	钁
Xấp xỉ số	數約
tà ác	孽
Nhạc Opera	越剧
Thế giới	界
Quân Hồ Nam	湘军
Kinh dị	幌
nước muối	鹽水
Chiếm lấy	擄
Sóng	海浪
khắc	鏤
Buồng lái	艤
năng suất	让
Tianxiang	天祥
Đất liền	内地
Hookup	联播
Bị ám sát	遇刺
ngôn ngữ học	語言學
Quark	夸克
cá voi	鯨
Tai hổ	虎耳
Thương hàn	傷寒
Trong luc đo	其間
Nói cách khác	也就是说
tuyến giáp	甲状
Châu Á	亞裔
Phương tiện truyền thông	媒
đánh	击中
Màu be	弴
vàng	金币
trạng thái	地位
Quyến rũ	魅
Hạt	縣市
Trích xuất	萃
Xây dựng	建设
nghi ngờ	疑慮
U ám	郁
Yu	琤
trang viên	封地
Lanka	蘭卡
cá nhân	個體
Chữ thập đỏ	红十字
Dace	鲮
Malacca	马六甲
Hội chợ	博览会
Dơ bẩn	龊
mặt trời mặt trăng	日月
Lu	魯
Tự hành	自走
Lối vào chính	正门
Ngọc bích	礐
kim loại	金属
kết hôn	嫁
Cành cây	薜
Anh trai	弟兄
镈	镈
địa hình	地勢
Xây dựng	砌
Lí trí	心目
Trả	薾
đô thị	大都會
Phá vỡ lớn	大破
sưng lên	臌
Cả hai	兼具
Người thừa kế	嗣
Bang Louisiana	路易斯安那州
Kowski	可夫斯基
Chúng tôi sẽ	們將
nở	孵
chơi	遊玩
Đảng công dân	公民黨
Yi Fu	藝復
Gian lận	诈
Nhà sử học	历史学家
màn	屏幕
Đứng trên	站於
Sẽ	將與
Đối với điều này	為這
Ku	岿
sân vận động	體育館
Khí ga	燃氣
Liu Jin	劉瑾
phát xít Đức	納粹德國
Bạn gái	女友
Leeds	利兹
Quận Giang	江縣
Quay phim	摄制
Đây	這裡
cột tóc	丱
toàn bộ	縂
Shimin	世民
Bạn có thể	則可以
Cơ đốc giáo	基督徒
nghĩ	思想
Nổ	爆出
Kentucky	肯塔基
HNA	海航
Monte	蒙特
nâng cao	先進
Người sống sót	存者
kinh doanh	生意
Nas	纳斯
Katerina	卡捷琳娜
Bạn	悠
liên quan	有關
Dagon	袞
Trẻ	揚
Trường hợp này	这种
Giải đấu	屆賽
Lăng mộ	墓群
Gui	珪
Mười ngày	十日
Bật	開啟
Vây hậu môn	臀鰭
Ủy ban Olympic	奥委会
Lá thư	上書
Sẽ ở	會在
Chiến thắng lớn	大勝
chiến tranh Hàn Quốc	韓戰
Bướng bỉnh	匄
Tiêu cực	阴性
Dòng chữ	铭文
cơ quan báo chí	通讯社
Daigo	醍醐
light novel	輕小說
đồng hành	伴侶
Hơn nữa	再者
Thị trấn quan trọng	重鎮
mang	携
Bài học	講座
có thai	娠
Wairo	外郎
tạo nên	締造
đếm được	可数
gấp đôi	双
Cỏ	格拉斯
nguyên đơn	原告
Tương đương	等同
Giống	似的
Đếm được	有數
tai	穗
đặt hàng	順序
Amazon	亚马逊
kết hôn	结婚
tăng sức mạnh	通电
Quán ba	捥
Sdorf	斯多夫
Genoa	热那亚
Quyết định gần như	準決
Ngoan đạo	虔誠
cười	笑
Yi	嶧
do thám	侦察
Kỹ sư	工兵
Phổ biến	人气
Taoyuan	桃源
Để lộ ra	露出
Tác giả gốc	原作者
viền bếp	陘
trò chuyện với	聊天
Giáo sư thỉnh giảng	客座教授
Duyên dáng	頲
yêu tinh núi	魑
Phân loại	分级
xây dựng	筑
nắm bắt	捽
Phiên này	該屆
Kana	神奈
Vội vàng	藺
dư thừa	過量
Vì đó	為有
nhọn	急剧
Giải thưởng Emmy	艾美獎
ngay	马上
Yi	佹
Hướng tây	西行
đọc hiểu	讀書
Chiếm khoảng	佔地約
khủng khiếp	可怕
vấn đề	難題
Shao	鸏
Danh mục	名录
Hai chiều	二路
Chơi chữ	鋹
dạy	教導
Thành phố cấp quận	县级市
Ile	伊勒
Cassie	卡西
mạng tinh thể	櫺
cho ăn	饲
Vô cùng	极为
Lễ	大典
diễn đàn	论坛
Đối xử như	當作
súng cầm tay	枪支
tiếng Nhật	倭
bách khoa toàn thư	百科全书
Phát thanh truyền hình	广电
Pefu	佩孚
Seoul	首爾
Sẽ vào	會進
đỏ tươi	緋
Dõi theo	看管
Rình rập	薞
Tây An	岘
Và phải	和對
Zongnan	宗南
Khán giả	全场
Nướng	焗
Phiền muộn	瞓
Nhà giám sát	監察院
Dortmund	多特蒙德
Khu vực đá ngầm	礁區
trước mặt	陣線
Luo	珞
Chuyển tới	迁至
Mozambique	莫桑比克
vài ngàn	几千
Nghiêm nghị	艶
căn bệnh ngoài da	癩
Xe buýt đưa đón	班车
Lấp lánh	粼
Heisei	平成
Quê nhà	回鄉
cây cột	柱子
nhượng bộ	讓步
Gao Huan	高欢
Thông thoáng	清澈
không vâng lời	忤
Kết thúc	告一段落
mứt	蕷
Fu	弗
Đảng nhân dân	人民党
rừng	林木
Bốn chiều	四维
Hồi giáo	伊斯蘭
Được xây dựng	建成
đẩy lùi	擊退
trông mong	期待
Hạ xuống	世系
Ngân Xuyên	银川
Vòng	袐
thông minh	優秀
phần	部件
Hét lên	嗱
Sui	蘞
Đội đại diện	代表隊
Liền kề	鄰近
Ngớ ngẩn	俆
thiết bị hạ cánh	起落架
bơ biển phia Băc	北岸
kỳ hạn	用語
Động kinh	癫
mùa đông	冬天
Giám đốc	所長
Celtic	凯尔特
Tro	骨灰
thiếu niên	青少年
Liên đoàn châu Âu	歐洲聯賽
Nicea	尼西亞
nước và đất	水陆
Không khí	愛爾
Đi ngang qua	掠過
Thành phố Côn Minh	昆明市
Truyền lại	传世
Qinling	秦岭
Suncheon	顺天
Hạt Ping	平縣
bay hơi	蒸发
lụa trắng	纨
gồ ghề	岖
giật mình	骇
xe điện ngầm	地鐵
Bắc Thiểm Tây	陕北
Yi	侅
100 triệu	一億
mắc kẹt	擱淺
Máy bán vé	售票機
Kan	崁
Ai	璦
cày	犁
Bazaar	市集
Ming	樚
mộ	墓
Kẻ thù	敵方
chủ nghĩa bảo thủ	保守主義
Phấn đấu	爭取
lạc đà	驼
Và quyết định	並決
phim hài	喜劇
Đầu ra	输出
Hengchun	恆春
viết	泐
rượu mùi	酒
ý tưởng	主意
chủ tịch	总统
hình học	幾何
Giờ công	人時
Tât cả mọi mặt	四面
Thuộc về lý thuyết	學術
đến	嚮
Con rắn	蛇屬
Siêu thực	超现实
Nếm thử	口感
Fra	夫拉
Internet	互联网
Trong xe	车内
uống	暍
Văn phòng ủy viên	专员公署
Chữa cháy	消防
bộ sưu tập	廊
Tất cả	遍及
Hội họp	場館
năm mươi hai	五十二
Kế tiếp	接連
Stewart	斯图尔特
Dong	硴
Bình luận viên	卡斯特
Cây lau	竘
Xuất hiện	現出
phù phiếm	恌
Aristotle	亚里士多德
đội	隊
bão nhiệt đới	級颱風
Ling	垻
Đi qua	行經
mua sắm	購物
sau đó	而後
Kế hoạch	筹划
Giả vờ	扮
Nước Anh	大英
Cách mạng Tân Hợi	辛亥革命
mái nhà	屋頂
ngành công nghiệp	产业
Yan	繄
Bọ cánh cứng	蠳
Kính trọng	尊称
Giữ lấy	挟
Tổng binh	总兵
Liên kết	綴
Con rắn lớn	大蛇
Cỡ chữ	字号
rực rỡ	煃
Alaska	阿拉斯加州
miền Nam	南
ông già	叟
sự vi phạm	愆
Sản xuất thử nghiệm	试制
Chu	菹
Hungary	匈
Tỷ lệ trúng	打擊率
Tăng lên	興起
quả bóng nhỏ	小球
bận	碌
Sené	塞内
xe buýt	客车
Yilian	憶蓮
bất chấp	不顾
Ling	蔊
Cơ đốc giáo	克里斯蒂安
axit	酸
Ôn	玟
di cảo	追赠
cú pháp	句法
tự nhiên	天然
sắc đẹp, vẻ đẹp	美容
nhấn mạnh	應力
Trong một hàng	一連
phép màu	奇蹟
Yong	鵕
Hai đội quân	兩軍
Đa nền tảng	跨平台
Quay lại	迴
Chính quyền	官府
kè	堤
Dựa vào	凭
khai báo	申报
Huân	湴
Nữ ca sĩ	女歌手
Tham gia	从事
hăng hái	熱情
ngôi đền	廟
Sol	索爾
mangan	錳
Reel	辶
Thành phố Tây	市西
Thành phố Lạc Dương	洛阳市
lên đường	出發
Hoặc ít hơn	或少
Trận bóng đá	足球赛
Bãi đậu xe	车场
Quận Yuen Long	元朗區
Huân	涣
steroid	甾
Sự tôn trọng	尊
Ủy ban Thường trực	常委会
Wallace	华莱
chủ đề	题材
giám đốc	经理
Nhà phát triển	开发者
Chôn cất chung	合葬
Cơn	布特
bình phục	收复
đôla Hong Kong	港幣
loquat	枇
Công thức	制订
cửa tiệm	鋪
bộ phim	电影
đê	码头
Nợ phải trả	負債
Vây lưng	背鰭
cái rổ	篮
Brest	布雷斯特
Chuyển hướng	改道
Gánh nặng	担
Vast	廣大
Bị kích thích	興奮
dịch vụ bắt buộc	徭
CPPCC	政协
Cấp bậc quân sự	軍銜
Mao	墭
trong	里
Vắt kiệt	抌
Quận Haidian	海淀区
Có thể canh tác	苩
Shao	苪
người sử dụng	用戶
Sự ăn thịt	掠食
Tai Gong	太公
thử	嘗試
gia sư	导师
con khỉ	猱
Đường Gloucester	告士打道
cái thước	矱
vẫn	仍然
Thần đạo	神道
đoạn văn	款
nhà thờ	教堂
Nhân loại	為人
Hóa thân	化身
Uruguay	烏拉圭
con kiến	螞
Ba Lan	波兰人
Đài	无线电
Trưởng nhóm	組長
hăng hái	热情
con ngựa mạnh mẽ	駔
Mis	米斯
Abe	阿部
Lewis	刘易
quân đội	軍事
Cao	驁
thanh thản	愔
Yêu và quý	熱愛
cày	犂
Philip	菲利普
đa số	大部份
chống lại	反
sách	簿
không kiên quyết	徬
Phía bắc	北側
Pha trộn	糅
rộng	阔
Xuyên qua	透过
bị ràng buộc trong một giải đấu	綣
Một nửa	塞米
tập tin	锉
đàn organ	机关
Tây An	暆
người vợ	妻
Cho	給出
Chi	箎
khịt mũi	歔
Cột	縱隊
nghi ngờ	疑問
cộng đồng	共同体
Tái sản xuất	重現
Thành phố mới	新市
phó tế	執事
Slack	苢
bất cứ khi nào	每當
nhảy	趵
Đá hoa cương	花岗
Yawan	亞灣
Di chuyển	感動
Amo	阿莫
Giám sát	监管
Sai Yu	賽於
Nhà công nghiệp	实业家
sơ tán	疏散
Ji	姬
Ủy ban	委会
Chỉnh sửa	整治
Hành vi tình dục	性行為
Pojiang	波江
nhiều hơn	多于
gián tiếp	間開
Gạo nếp	醸
Sui	睢
Ghế	座椅
nam tước	男爵
Đừng	甭
Cá chép diếc	鯽
nhà vua	国王
Roche	羅氏
Kyoto	京都市
Qi	秶
Bọ cánh cứng	蠪
Hum	嗡
giải pháp	解
Tuyền Châu	泉州
Tấn công	袭
núi	大山
Hỏi thăm	查询
dền	莧
Lục địa	洲
thúc giục	敦促
Tael	両
Trung Quốc	华
Yongzheng	雍正
nhẫn	环状
Tốc độ âm thanh	音速
giấy phép	执照
Thở dài	儖
Học hỏi	学习
Coi như	看成
Chỉ trích	批斗
quanh co	邐
Công tố viên	察官
chuyển	娩
Đến	徫
Ám sát	暗杀
Yi	侂
sẽ	將
Times	时报
Âm	猇
cỏ dại	耪
Lạch nhỏ	谿
trận chiến quyết định	決戰
Yehe	耶和
Xem xét	考量
Microsoft	微软
sa tanh	緞
tia hồng ngoại	紅外線
sân trong	庭院
Số Pi	埨
người Trung Quốc	汉语
Trạm kiểm soát	關卡
Jing	璒
hoạt động	动作
Thiên Hà	天和
Tấm	钣
Zhe	険
lót	裌
Sẽ là	會被
Đã sử dụng	用過
Xuất tinh	兼
Sẽ tham dự	會參
Cho ăn	饋
Qi	郾
Khởi động xe	运载火箭
Ngốc nghếch	泆
đặc biệt	尢
Xô	憓
ảo	虚拟
Đảm nhận	接管
Hu	喣
Kong	崆
thô	糙
giấy phép	執照
đảo ngược	逆转
Xi	硊
Súng chính	主砲
Huyện	該區
Của	的的
học phí	费
bánh mì sandwich	三明治
Hải nam	海南省
cả đời	一生
Dọc theo dòng	沿线
thanh toán	付款
Không thu được	未獲
Tháo rời	拆解
May thay	所幸
chi tiết	詳盡
Yemen	也门
Sông Hoàng Phố	黄浦江
Tochigi	栃木
chiều sâu	深度
Đỉnh	最高峰
Ert	尔特
Chùa Zen	禅寺
ba trăm	三百
Nhãn hiệu đầy đủ	滿分
gần đúng	近似
đỏ	红
Hoạt hình	動畫
tưởng tượng	幻
Nói chung	一般来说
gặp	遇见
Hu	瓛
điều này sẽ	這會
Mọi người	民眾
Nơi cũ	前所
bóng	陰影
Ánh sáng	軽
Đã được	在過
cướp biển	海盗
Zhu	雺
Địa điểm quan tâm	名胜
Sẽ thay đổi	會變
Nintendo	任天堂
Bao nhiêu	多少
Thị trấn Minzu	民族乡
nhân chứng	见证人
Shan	輏
Cho quả bóng	為球
nhiễm sắc thể	染色體
công việc nội bộ	內政
Trung Hoa cổ đại	古文
Biên dịch	編撰
gậy	杆
bản thảo	手稿
Xu	徐
Cả gia đinh	全家
Đá	磯
Giám sát	監視
dinh tổng thống	總統府
trong nước	國內
nói nhảm	唠
Số tiền	金额
Lịch sử	历史学
Estonia	爱沙尼亚
xương sống	膂
Cây bách	桧
bắn tỉa	鹬
mùi thơm	馝
Mái hiên đôi	重檐
Nhìn chằm chằm	觌
Xiangtan	湘潭
Tiết kiệm	儉
văn hóa Trung Quốc	中國文化
biểu tượng	徽
Fang Wei	方為
Tôn Trung Sơn	孫中山
gián điệp	狙
Có mùi	冶
Mao Ze	毛澤
những giọt nước mắt	泪
Đang đợi sách	等書
Chiếm đoạt	篡位
Nhựa dẻo	塑
