Túp lều	庐
Đặc sắc	精选
Đóng quân	进驻
tải	装载
Tướng quốc	國將
Gián đoạn	間會
Li	槺
dự trữ	儲備
Phim hoạt hình	卡通
Âm thanh	聲器
Yong	烒
hồi sinh	复兴
scull	橹
Abba	阿巴
Lối ra phía Tây	西口
yêu cầu	请求
Seine	塞纳河
Mùa	赛季
Lãnh đạo đảng	黨領
thời gian này	这次
năm	歲月
Giác quan	感官
Yoshida	吉田
Yonglu	永祿
Ying	瑛
nước dâng lên	泩
lạy	踣
Nam Á	南亞
Cải cách ruộng đất	土改
nghỉ ngơi	休息
Los Angeles	洛杉矶
thuộc kinh tế	经济
nghị viện	议会
hy sinh cổ đại	畤
Kashmir	克什米尔
Qi	琪
Giáo viên và	師與
Bầu	當選
mưa nặng hạt	大雨
đất sét	垆
Không bạo lực	非暴力
thất nghiệp	失业
Minnow	鰷
Yong	瀄
Augustus	奧古斯
bài hát nhịp	唄
Đội và	隊與
nước tù đọng	渟
Eisenhower	艾森豪威尔
Sau khi phục hồi	復後
Hãy cẩn thận	小心
Khi nào	在當
Xuân	烄
Cổng phía Nam	南门
Sever quan hệ ngoại giao	斷交
cung điện	宫廷
Sân bay quốc tế	國際機場
Thị trấn	市镇
Kun	鍹
quần áo	服裝
Li	鱎
King Kong	金刚
Bangkok	曼谷
Snipe	鬹
KMT	国共
Người biểu tình	示威者
Chúng tôi mở	們開
Chấn lưu	碴
quyền lực	威力
Chen Bai	陳百
Mead	米德
Choáng	噅
Kernel	内核
Máy móc	機於
đau khổ	蒙受
hư hỏng	腐化
Khung	桢
Bong	奉
Saitama	埼玉
Fanzhi	藩置
kiếm	賺
Chuyến bay đầu tiên	首航
Os	撾
Cây thông	樅
Xin	澭
Đất nước phía đông	該國東
Cùng loại	同型
gậy	杖
suy luận	推断
Trực tuyến	在线
Cole	科尔
phổ biến	支持率
Giờ làm việc	工時
tinh tế	細膩
Biên tập	剪辑
Dương	杨
theo chiều dọc	縱
màu nâu tối	黑褐色
Ban ngày	日間
Làm việc cùng nhau	協力
Họp thư	信會
Lai	籁
Xử lý	辦理
Và nhỏ	與小
Hàng ngàn	成千
Ý tưởng	構思
Lai	灱
xuyên qua	亘
Âm lịch	農曆
Đa dạng	各类
Tranh giành quyền bá chủ	爭霸
Kem	淇淋
Yên tĩnh	蠏
một chiều	单向
áo choàng	氅
hướng dẫn	導引
York	約克
Trừng phạt	罰
phút	分钟
đến hạn	应有
Núi hổ	虎山
Ting Yan	廷琰
Tây An	荂
Ban đầu	原為
Đàn bà	妇女
Cronies	親信
uy tín	名誉
làm sao	怎样
Kunlun	昆仑
Chưa	尚
tập giấy	墊
Được rồi	眾對
rơi vào	落入
đôi pho vơi	周旋
Wei	暐
chỉ trích	挍
năng lực	天賦
đơn âm	音素
cho phép	允许
Giảm xuống	淪為
khung xương sườn	肋骨
Kaiyuan	開元
Kêu la	囂
Không chiến	空战
Nhầm lẫn	徃
động lực	动机
mang	進位
bóng râm	翳
ý kiến	意見
Có thật không	真是
Số thị trấn	鎮號
Làng	村落
Quá nhiều	過許
tại chỗ	當場
Causeway	銅鑼
Biến cố	盛事
săn bắn	畋
Vịnh King	景灣
Thị trấn mới	新镇
Thành phố thường châu	常州市
Quay lại	囘
Giải pháp	溶液
Fu	苻
Tình cảm	戀情
Nas	納斯
Xỉ	渣
Phòng triễn lãm	展览馆
video	视频
Hai nơi	兩處
quyến rũ	魅力
sự kiện hiện tại	时事
uống	喝酒
Nhiều hơn	再於
Nika	尼卡
Wo	渥
Đánh nhau	打鬥
nhìn trộm	窥
Ngày 1 tháng 5	五一
Kẻ trộm	盜賊
Tốt hơn	更佳
thân hình	机身
Giới luật	戒律
Hướng nam	朝南
Siêu tân tinh	超新星
Yan	皃
Mới cưới	新婚
Cây	树木
Bài đăng	岗
Gần đây	近期
Làm rượu	釀酒
Edinburgh	愛丁堡
công việc xuất sắc	佳作
Rồng biển	海龍
Chức vụ	職位
Dệt	編織
hiếp dâm	強姦
người Pháp	法語
Tuổi trung niên	中古
Căn cứ	基化
Phát hiện	侦
san hô	瑚
chuyển khoản	轉車
em trai	弟
Hiện	現身
thử thách	挑战
Số hai	二號
Jedi	绝地
Tago	塔哥
Macka	麦卡
Trong luc đo	其间
quân dai	裤
Ruột	膽
Airport Express	機場快
buồng	櫉
Điều tương tự	亦同
cống	澮
bắt giữ	拘
Học	攻讀
Tuen	屯
Trường học	该校
giết người	谋杀
cành cây	杈
bốn mươi mốt	四十一
Nghiêm nghị	厉
mùi thơm	馣
thái bình dương	怗
bá Vương	霸王
đo lường	测量
trạng thái	狀態
Quyết tâm	慑
Lần trước	历次
Aude	奥德省
Wei	巍
Khủng khiếp	祟
Khoe khoang	展示
Đã xả	出院
Quận mới	新区
bộ sưu tập	採集
Chó	獓
Đối với điều này	對於這
chuyển động	运动
thang	阶梯
Vở kịch	该剧
trở kháng	阻抗
Thành phố	該城
Căng ra	延展
bạch kim	白金
Thomas	托马斯
Kazuo	一夫
vách đá	巉
qui định	规则
Học hỏi	习
Trong cuộc họp	會中
Đặt	普特
chất lỏng	液
Dẫn điện	传导
Biến đổi	變數
Trường trung học cơ sở	附中
Tên đã dịch	譯名
Huy chương	奖牌
săn bắt	追击
nỗi sợ	畏
thương vong	傷亡
Vân Nam	雲南
Alva	爾瓦
Shi Yong	時擁
mạng lưới	聯網
Lợi nhuận	營利
Dãy chính	主序
Cú	鴞
Họ và tên	全名
triết gia	哲学家
con bò cạp	螰
Ngọn núi tuyết	雪山
lưới chim	罻
Tan Zhen	滩镇
Quốc gia	各国
Euclid	欧几里得
tanh	腥
Làng	庄村
Posterity	后世
nhóm	團體
nghẹt thở	哽
bạch Mã	白马
Thành phố	直轄市
Căn cứ	进制
Tổng giá trị	总值
sự ion hóa	电离
công cộng	公众
Người dân	市民
Món ăn	餸
Dai	岱
Fucheng	富城
nhạc sĩ	音乐家
giấy	纸
Đau	籖
lời tiên tri	讖
Amu	阿穆
Cướp bóc	洗劫
Yu	雚
Murray	默里
hoa mẫu đơn	牡丹
khối lập phương	立方体
Xe buýt	巴士
Nhóm giải đấu	組聯賽
mũi tiêm	注入
Biến ngẫu nhiên	随机变量
kích thước	大小
Anshi	安石
Điều khiển	控制權
Mới	新兴
Cơ chất	底物
Mười tám năm	十八年
nông nghiệp	耕作
vĩ độ bắc	北緯
bản đồ	地图
hữu cơ	有机
dọn dẹp	潔
chi tiết	細節
Khuyết tật	残疾
Thành tựu chính trị	政績
thủ công	手工业
Kanazawa	金澤
Vui lên	欂
Kéo dài	加長
Burren	伯倫
Tìm ra	算出
Xếp hạng	榜第
Roosevelt	羅斯福
khai báo	申報
Báo cáo rằng	报道称
Nhân loại	人类
Shah	沙阿
Lenovo	联想
Đội	班子
hình trụ	壔
Nghề nghiệp	職業
Phân loại	归化
Chết	驾崩
Cuộc tổng tuyển cử	總選
Kẻ huỷ diệt	逐艦
Hongwu	洪武
truyền tải	傳輸
ở ngoài	以外
Trình độ	度約
bồn tắm	澡
Âm	儤
Phòng thờ Phật	佛堂
Nghiên cứu	研究型
Xây dựng lại	重修
ác quỷ	魔王
bạch Mã	驃
Tan	澹
Saint dan	圣但
Làm rượu	酿酒
trả	赔
Kết thúc	端的
Honolulu	檀香山
Trung tâm	森特
Khán giả	全場
Để lộ ra	暴露
Người chiến thắng	得主
Moro	摩洛
bố trí	鋪設
Sang trọng	有類
Cây sồi	奥克
Tình dục	发性
Theo này	依此
Đức ông	法王
người phục vụ	服务器
phun ra	浡
Saki Line	崎線
giải pháp	觧
Thuốc	药用
Allah	阿拉
bằng văn bản	成文
con mắt	眼睛
Nhìn	看
Kiệt sức	殆尽
lễ hội âm nhạc	音乐节
Coi như	視作
Ở ngoài	之外
bằng cách ấy	从而
Đường chính	干道
tám mươi	八十
A-xít a-xê-tíc	醋酸
vỏ trái đất	地壳
thuộc địa	殖民
Khoa	學部
Tiêu điểm	重點
Năm ngày	五日
Chính thức hóa	式化
Babylon	巴比伦
Đường vòng	繞經
Roe	獩
Không bao giờ	从来
người làm nhỏ	鯫
Lợi nhuận	利
Dodd	多德
năng lượng	能源
Vương miện	王冠
Bị liên lụy	卷入
rửa	澉
Hồng Kông	本港
Ge Liang	葛量
súng	枪
vết trầy	撓
nhựa dẻo	塑料
Số ba	仨
diễn hành	阅兵
quét	扫描
Tainan County	台南縣
Sau đó được gọi	則稱
Tại cuộc họp	会上
tính từ	形容词
Concord	协和
Fukuda	福田
Phim Mỹ	美國電影
Trộn	混成
Nghiêm nghị	厲
Nhánh ngôn ngữ	語支
sức mạnh	强度
quý bà	娘子
Xuande	宣德
Quê nhà	籍贯
Kẻ huỷ diệt	驱逐舰
con bò cạp	蠰
Số và	數與
Nuôi	飼養
Jiang Zhongzheng	蒋中正
mộng	枘
Nêm	楔形
Lục địa	大陆性
tha thứ	容忍
Dòng là	線為
Khi nào	時為
Con gái	千金
Cũng từ	也從
tràng hoa	花冠
Tây An	釚
Burr	伯尔
lá thư	书信
Sơn tây	山西
Và phải	而對
Trò chơi này	本賽
Zhu	踭
Nhà Thống đốc	督府
bùn lầy	浑
Kai	闿
Thời gian cũng	時還
Những con gà	鷄
Chữ số	位數
Sự khiêu khích	釁
Quận Kwun Tong	觀塘區
không ai	沒有人
gian lận	劈
Chồng và vợ	夫妻
quan tâm	兴趣
địa phương	地方性
Houli	後黎
Cái thìa	勺
bực bội	惱
hành	獵戶座
Nổi bật	杰出
Guanzhong	關中
Hoa Kỳ	美國國
đại sảnh	會堂
Chuan	涱
Chơi chữ	鸃
ngân hàng	银行
Biên tập	編
áp suất cao	高壓
người độc thân	单打
Assyria	亚述
Sum họp	留尼
độc quyền	獨家
Aham	阿含
bắn	开枪
Ngon ngọt	雋
nguyên âm	元音
khách hàng	客戶
Vendé	旺代
truyền hình nhiều tập	电视剧
ngủ	寢
Bạch	巴赫
Jiu	櫿
Quốc gia	國民
nghề thêu	黼
Võ thuật	武术
Vẫn	仍為
Dallas	达拉斯
sơ cấp	初級
che	掩盖
mỏ neo	錨
Đặc trưng	功能
Xuất khẩu	导出
phỏng đoán	猜测
Tang	梮
Du kích	游击
bằng phẳng	扁
đột ngột	忽然
thờ cúng	崇拜
Đánh	創下
Gaozong	高宗
Thức ăn vòng	環食
khát vọng	送氣
rỗng	窾
Madagascar	馬達加斯加
Nhà Hán	汉代
tàn sát	惨案
Mang hành lý	载客
Nip	壓區
California	锎
Koizumi	小泉
Tân trang	翻新
thông minh	优秀
thống trị	主宰
Kiêu ngạo	顜
thói quen cho ăn	食性
Trung ương cộng sản	共中央
Đến	來當
Buồn phiền	憕
giáo dục	教育
Hoàng hôn	暮
Đánh trống	打鼓
chứng chỉ	证书
Hu	瑍
Thép	鋼
Kyushu	九州
bia đen	奘
cộng đồng	社群
dấu vết	迹
đốt cháy	点燃
Tháo rời	拆卸
Bang Mu	州牧
Tưởng tượng	奇幻
Bạc	银色
Nho giáo	儒
Điều chỉnh	調
cho thuê	租賃
Ou	讴
Thước vuông	平方呎
California	加利福尼亞州
Vốn nhà nước	州府
chuông	鍾
trang	頁
Sẽ đặt	會把
Để hiểu	了解
phanh	轫
Từ chức	離職
Háu ăn	饜
Phía tây	西邊
Iso	伊曾
Xấu hổ	龀
Cá	捞
Đi ra ngoài	出去
đã chọn	选
Thành viên gia đình	家屬
Nanyang	南洋
Khoảng thời gian	區間
Xiongzhou	雄州
học kỳ	學期
nhà giam	犴
Trong năm	年內
đào	掘
ghế đẩu	糞便
Bị liên lụy	涉及
Wei Jin	魏晋
thị trấn Kennedy	堅尼地城
Abi	阿比
Điểm	地步
mệt mỏi	纍
Kỹ thuật số	数码
Ưu tiên	首选
Suy sụp	滒
Với quân đội	與軍
vé máy bay	车票
Tải xuống	下载
Tất cả các loại	种种
Tseung Kwan O	將軍澳
Hu	籺
Gửi	传送
sản phẩm	積
đối diện	对称性
Mộ Dung	慕容
Hồ nước	湖水
cả người	全身
Anh ấy là	他為
Giáo viên	師範
Shahe	沙河
tập quán	習俗
Một lát sau	後再
Tuyệt quá	凖
Buồng lái	舣
xảy ra	发生
Người kế vị	後任
Tấn	暁
Saito	齋藤
Kamakura	鎌倉
họa sĩ	藝人
Tiếng Mông Cổ	蒙古族
Hàng hải	海事
Dòng chảy	径流量
Thủy bồn thảo	景天
tì vết	玷
Tỉnh Sơn Đông	山東省
Yi	羵
axit sunfuric	硫酸
Qian	鑚
thay thế	取代
Gan	肝臟
thành phố San Diego	圣地亚哥
quan tài	椟
Nguồn khách hàng	客源
Mọi nơi	各地
tích lũy	累积
phần lớn	大部分
trái cam	枳
De Gaulle	戴高乐
cán bộ	干部
Hồng quân Liên Xô	苏联红军
Wuyishan	武夷山
An	嵞
xoắn	捻
Xie	蕒
ống chân	踦
Người thay thế	代入
Làm	訂立
hoa cúc	菊花
người Anh	英籍
nhà hóa học	化学家
Nước	蕹
Phi	披
Hy vọng	预计
Karlsruhe	卡尔斯鲁
Nhân dân tệ	塮
Ma Ling	马铃
Hướng dòng chảy	流向
Ayi	阿伊
Thiết bị đầu cuối	航站楼
hoẵng	麂
Với một	與一
quang phổ	光谱
Âm	餎
mục đích	确定
Quận Đông	東縣
Dương châu	揚州
Hui	晖
lũ lụt	氾濫
Gram	克
chủ quyền	主权
Nhà và	家與
Được đặt tên	名叫
sự xuất bản	刊物
người Pháp	法屬
Châu Âu	歐
Uzbekistan	乌兹别克斯坦
chắc chắn	堅定
trắng	懷特
búp bê	玩偶
Pang	蠃
nhận được	接收
Mờ nhạt	搴
Trận đấu	搭配
cô đơn	瞏
cà vạt	絷
giảm	缩减
cô đơn	孤独
thí dụ	範例
Lun	鎾
Carl	卡尔
đau ốm	生病
chuyên chở	传达
tiên tri	先知
Quân đội	陸軍軍
Liên tiếp	歷任
Ngắn	短短
bóng da	踘
Thành bang	城邦
Có nghĩa	意指
khỉ	獼
La	叻
lãnh sự quán	领事馆
Phiền muộn	窪
Hoa sen	蕗
Bang	泜
trận đấu	匹配
Thành phố Keelung	基隆市
Lodz	罗兹
Cà kheo	蹺
Số Pi	邲
thường xuyên	经常
Cho ăn	餽
Sao chép	湑
ven sông	河边
Khó xử	蘁
Thành phố	辖市
Chân thành	摯
Chang	苌
Tòa án	考特
Đi xuống	下來
Đặt nằm	奠
Chìm	淹沒
Tương lai	未来
Khoa học công nghệ	科学技术
đau buồn	忉
Âm	狔
Răng nanh	魦
Phần phía sau	后
bẻ cong	屈
Xoáy thuận ngoại nhiệt đới	溫帶氣旋
Piauy	皮奥伊
Mei Yan	梅艷
Có điện	與電
cả hai	俩
tử thi	屍
Kun	堃
trung thành	忠實
Zong Shi	宗時
Băng thông rộng	寬頻
Liên tiểu bang	號州際
buồn	傷心
Không còn	不复
Bực bội	桄
Fuman	夫曼
Bồ đề	菩提
răng	牙
Đính kèm	附著
Kun	稐
Hou	堠
Dehe	德河
Viato	维亚托
Xa nhất	最遠
vào ban đêm	夜间
Ming	拺
Những người lính	将士
yêu nước	爱国
Quân đội	军政
tối thượng	终极
Đức phật	佛陀
Chartres	沙特尔
tiên phong	拓荒者
cắn	咥
Chi nhánh	汊
Cuốn sách lịch sử	史書
núi	山地
Quản trị quận	縣治
phỏng theo	适应
Lai	萊
Hát	婇
trung tâm thành phố	市中心
Bãi mìn	雷区
Chính phủ trên	政府於
Ga	嘎
con đỉa	蛭
Word	字詞
Ba loại	三種
Thang máy	升降
Chức vụ	职务
Sáu	六部
nhấn mạnh	应力
Supercharge	增压
Ngồi về phía bắc	坐北
Băng nhóm	鷞
Khuyến khích	嘱
Tầng lớp trung lưu	中产阶级
P	犘
Nhón	搟
Dạy lòng nhân từ	教仁
Gao	皐
Châu Á	亚洲
Người biểu diễn	演者
Bị bắt	被捕
Sàn nhà	層
Được dùng như	用作
Kerr	克尔
thế hệ	辈
Đường	路途
dây cương	辔
bi kịch	悲剧
Zhu	篙
Dân sự và quân sự	文武
bờ Tây	西岸
Olympi	奥林匹
Bọc thép	披甲
lừa đảo	骗
hang	窟
Tàu vũ trụ	航天器
Vancouver	温哥华
tôn kính	榮譽
Xinmin	新民
Thư gửi	信給
Vui mừng	欢
Thương hiệu mới	嶄
Pu	氆
cạnh	邊緣
Malaysia	大馬
nơtron	中子
Chấn thương	伤病
Khu Dongcheng	东城区
Vương quốc	演義
bay	蝇
giật mình	駭
Dante	但丁
Và đỏ	與紅
dựa vào	恃
Trường cặp	場對
quyền trượng	珽
hơi nước	蒸汽
ý nghĩa	意义
Burrough	伯勒
Fadi	法第
bệnh hoạn	痾
cùng ngày	同一天
không	非
tích phân	积分
đi bộ	躘
Ah	阿
Cây rơm	栈
Nhận vào	入学
dịp tốt	机会
Hạt Yuan	媛縣
khuôn viên	校园
đánh bại	败
bàn cờ	枰
rouge	臙
dọn dẹp	洁
phía đông	东
Loach	鰮
Plutonium	钸
Nội tuyến	直列
Tất cả các cấp	各級
cảm thấy	感觉
Bà ấy	畬
Bài đăng	发文
đối đầu	对抗
khoai môn	芋
Hướng đông	往東
Lan và	蘭與
Akkad	阿卡德
Blas	布拉斯
trơn tru	平整
Xuyên tâm	徑向
Los Angeles	洛杉
Tàu điện	電聯車
cho ăn	哺
Nhà xác	殓
Yu	褙
Doming	道明
hai mươi lăm	二十五
Pipit	鹨
Xương cựa	黄芪
lối đi	通道
Mạng lưới	聯播網
Thiết bị quang học	光器
Báo cáo	举报
tương ứng	相应
Hệ thống chính thức	官制
cồn cát	沙丘
Một nửa thứ hai	後半
chai	瓶子
Victor	維多
cây lau	葭
Hanshui	汉水
Bảo hiểm	保險
Tìm kiếm	搜尋
Marsau	馬紹
Súng	槍枝
ngũ cốc	粮
Xuất hiện	外型
Xa lánh	捈
Ôm	胅
Keng	铿
Sân	中庭
thủy triều	潮
ngày	天
Siêu sao	超巨星
Zhongzheng	中正
Thua	亏损
Tát	磱
học nghề	学徒
Tổng doanh thu	总收入
Gera	格拉
cây rìu	鉞
âm thanh	声
thêm	加號
Xiao	簫
Chính thức thứ hai	次官
Charlotte	夏洛特
dịch vụ	役
Hoàng sơn	黄山
Tantali	钽
Bị	受過
số lượng	量
cản trở	傺
Vội vàng	奔赴
Tàu sân bay	航母
Takeda Shin	武田信
Trong	場於
Thuê	聘请
Nạp điện	充電
con vượn	猿
Hoàng đế Càn Long	乾隆帝
Dehua	德華
Sinh ra	降生
Quan thoại	普通话
Lu	閭
chính xác	究竟
Tường thuật	述
Giao banh	侍
Hiệp hội	协
Âm	縜
bên bờ biển	海濱
Yoshino	吉野
xây dựng	建築
Hàn Quốc	朝鲜人
Pit dừng	进站
Đá	搖滾
Một thiên hà	一個星系
sự phân chia	師
Phim ngắn	短片
Vẫn là nước	泖
Ngọc bích	楡
quyền tự trị	自治
Đa dạng	各類
tiệm thuốc	药房
Jingguo	經國
Nhọt	癤
Bei'an	北安
hầu hết	差不多
Đầu tiên	首間
Kênh	频道
Wige	威治
phi tiêu	攄
ở lại	畱
Smash	掓
Shao	筈
bom	彈
Cái gì đó	有事
Hun	珲
bánh lái	舵
Indiana	印第安纳
Đoàn nghệ thuật	文工团
Uống rượu	饮酒
Ngốc nghếch	螲
cá	魚
Hội nông dân	農會
phòng vệ sinh	厕
Niz	尼茲
Rong	戎
Thang máy	舉
Fukushima	福島
Splendens	芨
Thẳng đứng	立柱
Thị trấn	市鎮
Phòng ngự	防守
thần học	神學
Vận tốc xuyên tâm	徑向速度
Chính trị và luật pháp	政法
tòa án	球场
sân bay	機場
trợ lý giám đốc	助理
giai đoạn hai	二期
Kết hợp	作賽
Posterity	後國
Gar	噶尔
Âm	鼱
chim ưng biển	鹗
cầu thang	楼梯
Anh trai	兄长
con rối	傀
Atta	阿塔
Mở ra thế giới bên ngoài	对外开放
Gia cố	加固
Terman	特曼
Chúa Trời	上帝
bất kỳ ai	任何人
Bảy	七個
lấy mẫu	采样
Dina	迪纳
Không có thời gian	間沒
Kinh doanh	商贸
phòng	廎
Ở gần	迾
Yu	钰
chiều rộng	宽
Phản công	反击
Xie	燮
Niêm phong như	封為
Jongmyo	宗庙
Pum	噔
Liaodong	辽东
Chan	鍰
chủ tịch	行长
Miễn phí	弗里
Kết án	句話
Zimbab	津巴布
Tamarisk	柽
Tạo nên	创
Mô hình	模特兒
Bang	梆
Chủ tịch	董事长
Đã từng thấy	見過
khóa học	课程
Goethe	歌德
mạch đập	脉冲
Pu	溥
Trường đại học	学院
Ngoại thương	对外贸易
chiến trường	战场
sự thích nghi	改編
Jue	爵
Xuân	軒
Làm việc trong	業於
Trước khi chết	生前
long não	樟
tống tiền	脧
thừa kế	繼承
siêu	超级
Nucleotide	核苷酸
đối ứng	倒數
Hội đồng cơ mật	枢密院
Đối đầu	对峙
Erde	额尔德
cây tre	箬
Dài	茏
mang	攜
quái thú	兽
Giao dịch	交易
Mahala	马哈拉
Con gái	女郎
Nực cười	襌
Ít con	少子
mặt khác	對方
Chu	蛥
Barr	巴爾
chuỗi	连锁
Provence	普罗旺
tiếp diễn	連續
Toyota	豐田
vì kèo	桴
Khuyến mại	升班
Học tập cá nhân	個學
Nhiệt độ	氣溫
kiếm	挣
Quận Ku	庫縣
Thanh Châu	青州
cửa hàng	囤
Rửa	滌
mu	畝
Chongzhen	崇禎
Tấn	鉓
Yong	邕
kiệu	轝
đang phát triển	发展中
Đây là	這在
toàn bộ	總
Nhật thực toàn phần	日全食
Chao	潵
Từ	們從
Nam Cực	南極
kiểm tra	攷
Con trai của	的兒子
chế tạo	製造業
Âm	垞
Shu	姝
ngành công nghiệp	业
nghiêm khắc	严格
Đầu nguồn	分水岭
Thùng rác	豳
Nhẫn	袨
đông Đức	东德
Đúng thời điểm	時對
Sely	塞利
Châu Á	亞人
Chỉ tồn tại	僅存
Thiên An	天安
ân xá	赦免
Doanh nhân nước ngoài	外商
Ngọc trai	璸
Yu	鼆
Thiết lập như	訂為
sự phấn khích	激动
theo	追随
Nhầm lẫn	対
Mệt mỏi vì	厭
sự trả thù	报复
Gạo nếp	糯米
Kì nghỉ hè	暑期
Khai quật di tích văn hóa	出土文物
Jue	珏
rối loạn	动荡
Qi	蘄
Jing	璺
Bảo vệ	侍衛
leo lên	進行
Tàn phá	蹮
Lượt xem	观点
Kỹ thuật xây dựng	建工
ở giữa	当中
Cấp quận	县级
Thời gian và không gian	時空
bằng phẳng	平面
đảng phái	党人
than phiền	抱怨
Maxwell	馬克士威
cấp	年級
chúng tôi	我们
Triều đại nhà Tùy	隋朝
Ra mắt	登场
Hàm	頜骨
Hoàng đế	上皇
Khu công nghệ cao	高新区
Giải tán	解散
thành viên	会员
Cầu	大橋
uống	飲用
cừu con	草坪
Atlanta	亚特兰
nước Đức	徳
không xác định	不详
Thành phố phật sơn	佛山市
cứng	坚硬
tập trung	浓
Cách chơi	玩法
thâm nhập	滲透
Jingshi	京師
chỉ dẫn	指令
dao găm	匕
kho báu	寳
Bướng bỉnh	悢
Turing	图灵
Là	廼
Dong	垌
con vẹt	鹦鹉
Khu vực giải phóng	解放区
áo choàng	袍
co thắt	痙
bọ nước	蚨
căng ra	伸展
Nhà tranh đã lợp mái	草堂
Tai Tam	大潭
Rác rưởi	箚
Cheng Gui	成桂
Arachniodes	耳蕨
Thư viện	库
Tàu cao tốc	快艇
Shin	胫
Yi	佖
dữ liệu	数据
Mộc lan	玉兰
câu lạc bộ	俱樂部
Liaohe	辽河
Thoát trở lại	逃回
Sảnh đợi	遊說
chày gỗ	檇
Jimmy	吉米
Oss	奥斯
Nước Lào	老挝
Quảng Sơn	光山
Dalai	達賴
Cá rô	綱鱸
Xingying	行营
Khám phá	探
Xịt nước	喷
Quân đội Pháp	法軍
đồi đá	岨
Facebook	臉書
đại sảnh	厅
Người sản xuất	制作人
Lựa chọn	遴選
praseodymium	镨
Madonna	瑪丹娜
nghệ nhân	工匠
Què	蹛
tàn nhẫn	狠
Tây An	西安市
Chắc chắn	商行
môn học	主语
tìm thấy	發覺
gadolinium	钆
xem xét	考慮
Hoàng đế	大帝
Santo	城主
Bảo vệ	护卫
Il	伊爾
Tòa thánh	教廷
gặp gỡ	会议
Đen	黠
Mandela	曼德拉
Va trươc đây	與前
Đi với	來與
Sài gòn	西貢
Phi cơ	飞行器
Phong phú	多样
Phần giữa	中段
Chơi lên	上奏
an toàn	安然
cầu vồng	隮
Einstein	愛因斯坦
phái viên	使节
Khiêm tốn	憼
giải phóng	發布
tình hình	局势
máy dò	探測器
chết	殒
bia đá	碣
Om	唵
Latin	拉丁语
Biệt thự	别墅
Vội vàng	急行
dơ bẩn	臟
Kwun Tong Line	觀塘綫
liên đoàn	級聯賽
gặp gỡ	会晤
Sau khoảng thời gian	時間後
Lời nói hòa bình	和談
Báo chí	报业
Và	嵹
Được	要為
Wei Zhan	衛戰
Hung dữ	鏖
Người ta nói rằng	听说
Yongan	永安
Sway	士威
Tây du ký	西游记
Đi lên	上去
sa hoàng	沙皇
Ghen tuông	撗
Calton	爾頓
bộ xương	骨骼
Lớn	大型
Tang	梣
marathon	馬拉松
Giá cả	代價
Đánh	撞擊
Sông Zha	溠
thêm vào	添
Yêu cầu	聲請
Trung gian	中间体
Tuyến đường sắt phía Đông	東鐵綫
Fujiwara	藤原
Trang web này	本站
xù xì	毿
Ứng tuyển	適用於
Từ	可從
Âm	瀴
chăm sóc sức khỏe	保健
lo	忧
Dinh thự	邸
thượng nghị sĩ	參議員
Người phục vụ thường xuyên	常侍
Chỉ còn	僅剩
Dài	澯
Người dự trữ	斯德哥爾
Cấp độ 2	二级
Tham gia chính trị	參政
khởi động	启动
Đối với hoàng đế	為帝
Diana	戴安娜
Phần lớn	蕞
trang điểm	化妝
Giải thưởng	爾獎
Loại này	该种
Cấp cao nhất	頂層
Tiết tấu	殴打
Cao siêu	崇高
Tokugawa	德川家
óc	大腦
Đường thẳng	直路
đá lăn ầm ầm	硍
phố cổ	老城区
ranh mãnh	猾
Theo luật	依法
mở rộng	延长
Quan niệm	构想
khác nhau	異
Yalu	耶路
Hậu thế hệ	代後
Phúc lợi	祉
Chiều cao	身高
Tiếng Mông Cổ	蒙古语
Bột giấy	浆
Người phụ nữ cao tuổi	嫗
cố vấn	參贊
Bị thương nặng	重伤
Cape Verde	佛得角
Li	莉
Hidemo	秀茂
Số tàu	车次
chế độ độc tài	专政
quét	扫
Kus	庫斯
mang	擕
công nghiệp hóa	工業化
Thắng lợi	胜
Mảnh mở rộng	资料片
mặt trời	菼
ngôi sao	星
bùn lầy	泞
Phù sa	冲积
hài lòng	愜
Tan	湲
cấp độ	层次
Bên trong chùa	寺内
dược phẩm	醫藥
Heisenberg	海森堡
Chiến thuật	战术
Shao	歠
Xì hơi	昪
Henry IV	亨利四世
Quang điện	光伏
Anh ta	他於
Lắng đọng	沉积
Shao	厏
âm thanh	声音
sự hiểu biết	把握
ngã	跌落
khúc côn cầu	曲棍球
Văn phòng	辦公
đau đớn	疼
Hoạt động	運營
Giám đốc	廳長
Nan	柟
sự vi phạm	违反
Cánh tay	兵种
bản quyền	版權
Và thay đổi	並改
quí	珍贵
mòng biển	鷗
ngồi xổm	踞
Rút lui	退守
Sửa	修缮
Khi ra ngoài	出時
sưng lên	肿
Giữ chức vụ	任职
Đối với vốn	為資
Grandstand	看台
Alabama	阿拉巴马
Phi hành đoàn	劇組
Đi lang thang	羅夫
tham	貪
Sự quyết tâm	测定
Albert	艾伯特
Gọi	致电
nhân vật phản diện	小人
Kalimantan	加里曼丹
Giường	河床
chuyển khoản	调任
Hanno	漢諾
nhóm lò xo	灥
Nâng cao	晉身
Săn bắn	獵殺
nói chuyện	噂
Nghiêm nghị	艎
Đếm	計有
Sắp xếp	包辦
Ren	侊
Zhu	擙
gì	孰
Âm	竤
Thành viên và	員與
Ollie	奥利
Bren	布倫
Rút lại	收回
Xikou	溪口
Ye	鑁
